,a,b,c,,x,y,z,,,I,j,k,l,Li atom,x,y,z,Distance,x,y,z,Distance between Li atom and Mn
0,0.125,0.125,0.125,,0.125,0.125,0.125,,2,0,0,0,0,,0.125,0.125,0.125,,-0.375,-0.125,-0.125,0.414578098794425
1,0.875,0.875,0.875,,0.875,0.875,0.875,,,0,1,0,0,,0.625,0.125,0.625,,0.125,-0.125,0.375,0.414578098794425
2,0.5,0.5,0,,0.5,0.25,0.25,,,0,0,1,0,,0.625,0.625,0.125,,0.125,0.375,-0.125,0.414578098794425
3,0,0.5,0.5,,0.25,0.5,0.25,,,1,0,0,-1,,0.875,0.375,0.375,,0.375,0.125,0.125,0.414578098794425
4,0.5,0,0.5,,0.25,0.25,0.5,,,1,0,-1,-1,,0.375,-0.125,0.375,,-0.125,-0.375,0.125,0.414578098794425
5,0.5,0.5,0.5,,0.5,0.5,0.5,,,1,-1,0,-1,,0.375,0.375,-0.125,,-0.125,0.125,-0.375,0.414578098794425
,,,,,,,,,,,,,,,,,,,,,,
,a,b,c,,,,,,3,0,0,0,0,,0.125,0.125,0.125,,-0.125,-0.375,-0.125,0.414578098794425
x,0.5,0.5,0,,,,,,,0,0,0,1,,0.125,0.625,0.625,,-0.125,0.125,0.375,0.414578098794425
y,0,0.5,0.5,,,,,,,0,0,1,0,,0.625,0.625,0.125,,0.375,0.125,-0.125,0.414578098794425
z,0.5,0,0.5,,,,,,,1,-1,0,0,,0.375,0.875,0.375,,0.125,0.375,0.125,0.414578098794425
,,,,,,,,,,1,-1,-1,0,,-0.125,0.375,0.375,,-0.375,-0.125,0.125,0.414578098794425
,,,,,,,,,,1,-1,0,-1,,0.375,0.375,-0.125,,0.125,-0.125,-0.375,0.414578098794425
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4,0,0,0,0,,0.125,0.125,0.125,,-0.125,-0.125,-0.375,0.414578098794425
,,,,,,,,,,0,0,0,1,,0.125,0.625,0.625,,-0.125,0.375,0.125,0.414578098794425
,,,,,,,,,,0,1,0,0,,0.625,0.125,0.625,,0.375,-0.125,0.125,0.414578098794425
,,,,,,,,,,1,0,-1,0,,0.375,0.375,0.875,,0.125,0.125,0.375,0.414578098794425
,,,,,,,,,,1,0,-1,-1,,0.375,-0.125,0.375,,0.125,-0.375,-0.125,0.414578098794425
,,,,,,,,,,1,-1,-1,0,,-0.125,0.375,0.375,,-0.375,0.125,-0.125,0.414578098794425
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5,0,0,0,1,,0.125,0.625,0.625,,-0.375,0.125,0.125,0.414578098794425
,,,,,,,,,,0,0,1,0,,0.625,0.625,0.125,,0.125,0.125,-0.375,0.414578098794425
,,,,,,,,,,0,1,0,0,,0.625,0.125,0.625,,0.125,-0.375,0.125,0.414578098794425
,,,,,,,,,,1,0,0,-1,,0.875,0.375,0.375,,0.375,-0.125,-0.125,0.414578098794425
,,,,,,,,,,1,0,-1,0,,0.375,0.375,0.875,,-0.125,-0.125,0.375,0.414578098794425
,,,,,,,,,,1,-1,0,0,,0.375,0.875,0.375,,-0.125,0.375,-0.125,0.414578098794425
