Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.003414634146341464,0.0,0.0011200000000000001,1.6,1.3682353862343177e-05,0.01985738785088907,-1.5999863176461377,0.0
0.006097560975609756,0.0,0.002,1.5,,0.0,,
0.006097560975609756,0.0,0.002,1.4,,0.0,,
0.006097560975609756,0.0,0.002,1.35,,0.0,,
0.006292682926829269,0.0,0.002064,1.3,0.11399960999404035,0.002496357329826064,-1.1860003900059597,
0.006999999999999999,0.0,0.002296,1.25,0.0715015808160262,0.010162082704730976,-1.1784984191839738,
0.011219512195121953,0.0,0.00368,1.2,0.03485354713583666,0.04693564401119233,-1.1651464528641633,
0.021170731707317075,0.0,0.006944,1.16,0.009138142998294407,0.10131909790723762,-1.1508618570017055,
0.03380487804878048,0.0,0.011087999999999999,1.12,-0.004503959024384718,0.1321728366407491,-1.1245039590243848,
0.04421951219512195,0.0,0.014504,1.08,-0.0017309920453560945,0.07321573633515198,-1.0817309920453562,
0.054902439024390244,0.0,0.018008,1.04,0.017176978636161966,0.08864776346498575,-1.022823021363838,
0.06992682926829269,0.0,0.022936,1.0,0.012750814882793282,0.12708857168645976,-0.9872491851172067,
0.09141463414634148,0.0,0.029984,0.96,0.0039047244225434152,0.19212151689811946,-0.9560952755774565,
0.13953658536585367,0.0,0.045768,0.88,0.011174948440113797,0.25261305171946974,-0.8688250515598862,
0.18470731707317073,0.0,0.060584000000000006,0.8,-0.023756045992998853,0.19009064768609113,-0.8237560459929989,
0.24580487804878048,0.0,0.080624,0.72,0.01214648335995172,0.31322579397316436,-0.7078535166400483,
0.343,0.0,0.112504,0.64,0.016140121128155993,0.41620698103231596,-0.623859878871844,
0.48097560975609754,0.0,0.15775999999999998,0.56,0.0030740923461405334,0.8285946385053741,-0.5569259076538595,
0.6301707317073171,0.0,0.206696,0.5,0.0054177242773574275,0.7107152527949175,-0.4945822757226426,
0.7329756097560975,0.0,0.240416,0.46,0.0007722411529219597,0.7746908565754332,-0.45922775884707806,
0.8429268292682928,0.0,0.27648,0.42,-0.010091962094892382,0.7844957641868746,-0.43009196209489237,
0.933390243902439,0.0,0.306152,0.38,-0.030049344121287125,0.6555375033848843,-0.41004934412128713,
0.9836829268292684,0.0,0.32264800000000005,0.34,-0.05977544939016144,0.24265856897829663,-0.39977544939016146,
0.9968536585365855,1.1904761904761905e-05,0.326976,0.3,-0.09333737173474638,0.0336750351372633,-0.39333737173474637,
0.9992682926829268,2.380952380952381e-05,0.327776,0.26,-0.0999629360226088,0.009304604592950945,-0.3599629360226088,
1.0,0.0006904761904761905,0.328464,0.22,0.19828135497173574,0.016938093948694888,-0.02171864502826427,
0.999951219512195,0.0005595238095238096,0.32836000000000004,0.2,0.15907686807295843,0.014473972638025122,-0.040923131927041584,
1.0,0.0017857142857142857,0.3292,0.18,0.15828135499532106,0.05802483462931513,-0.021718645004678922,
1.0,0.004523809523809524,0.33104,0.16,0.13828135499985797,0.11875749487427405,-0.02171864500014204,
