Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0009027946537059538,0.0,0.0002972,1.6,0.037917121353518324,0.008905232550642787,-1.5620828786464818,0.0
0.007600850546780073,0.0,0.0025022,1.5,0.01779029051454306,0.037508856846285785,-1.482209709485457,6.141742158453768e-05
0.024491859052247874,0.0,0.00806272,1.4,0.005804680196656475,0.07422387786417066,-1.3941953198033434,0.0001270175748540573
0.04913973268529769,0.0,0.0161768,1.3,0.0010074160093520579,0.07212602994081108,-1.298992583990648,0.00015465452164568216
0.10102855407047388,0.0,0.0332586,1.15,0.005172413885657923,0.14377869811612484,-1.144827586114342,0.0002074358307959729
0.18000133657351153,0.0,0.05925644,1.0,0.008601822765141098,0.23795471451785413,-0.9913981772348589,0.0003864860310807773
0.25255674362089914,0.0,0.08314168,0.9,-0.0024480108622511043,0.2926077121453803,-0.9024480108622511,0.0004599786681884694
0.4195309842041312,0.0,0.1381096,0.7,-0.0012902271779881014,0.30942142792642147,-0.7012902271779881,0.00035723708342005666
0.618745929526124,0.0,0.20369115999999998,0.5,0.005522336614566747,0.39617460285373085,-0.49447766338543325,0.000496011252890831
0.8552280680437424,1.1627906976744185e-05,0.28154888,0.3,-0.0020768876630144484,0.43963054814020236,-0.30207688766301444,0.0006301386527629572
0.9736281895504253,0.0007371496720333929,0.32101288,0.2,-0.014522012203992518,0.3078076657254468,-0.21452201220399253,0.00030260916058717573
0.9993681652490887,0.04125533691115086,0.35666608,0.1,0.07659087300003986,0.999423264086733,-0.023409126999960145,0.001409085914453993
0.9997938031591738,0.0867366129994037,0.38731504,0.08,0.0576512726189482,2.2377144095023738,-0.0223487273810518,0.0034662769901492633
