Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.006526717557251908,0.0,0.0021375,1.6,-0.0338209348391314,0.012488939015898811,-1.6338209348391315,0.0
0.007709923664122137,0.0,0.002525,1.5,0.020792391773624352,0.0025083652469923717,-1.4792076082263756,-2.5242802189419893e-06
0.015515267175572521,0.0,0.005081250000000001,1.4,0.0031259945195598604,0.03943308829929197,-1.39687400548044,2.8046407262034096e-05
0.021316793893129772,0.0,0.00698125,1.35,0.009648596567829237,0.04326111558385868,-1.3403514034321709,4.0182268795053736e-05
0.026641221374045804,0.0,0.008725,1.3,0.04825282156139221,0.04985501850347499,-1.2517471784386078,9.06650677264687e-05
0.04396946564885496,0.0,0.0144,1.25,0.02521011768287207,0.1719993101491883,-1.224789882317128,0.0002991161578320686
0.07480916030534351,0.0,0.0245,1.2,-0.01217618886264793,0.21557837865717502,-1.2121761888626479,0.0003649374983742005
0.096087786259542,0.0,0.031468750000000004,1.16,-0.015354286418843843,0.1614161998488148,-1.1753542864188438,0.00026901099856525254
0.10982824427480915,0.0,0.03596875,1.12,-0.004486517573095261,0.0959367857706999,-1.1244865175730954,0.0002243691895833896
0.12400763358778627,0.0,0.0406125,1.08,-0.0006343957016143875,0.09418710027335658,-1.0806343957016145,0.00021247906907367314
0.13337786259541984,0.0,0.04368125,1.04,-0.010188307938129082,0.08655811892350654,-1.0501883079381291,0.00019587298317644177
0.14429389312977098,0.0,0.04725625,1.0,0.0070218082473222365,0.08038794336615424,-0.9929781917526778,0.00019021286497912453
0.1550763358778626,0.0,0.050787500000000006,0.96,0.01924682119905996,0.08671237331243763,-0.94075317880094,0.00023659341384539318
0.17975190839694655,0.0,0.05886875,0.88,0.026425797271943607,0.16095280707226664,-0.8535742027280564,0.00042113933785479173
0.23429389312977097,0.0,0.07673125,0.8,-0.004768630325366674,0.2204081150551926,-0.8047686303253667,0.000614564910146407
0.2881679389312977,0.0,0.094375,0.72,-0.000955214723581288,0.22691135417070168,-0.7209552147235813,0.0005640698646052192
0.3356297709923664,0.0,0.10991875000000001,0.64,0.00019382737613660161,0.12657107780324592,-0.6398061726238634,0.0005581524573142975
0.365381679389313,0.0,0.1196625,0.56,0.03091166335946649,0.141211393337441,-0.5290883366405336,0.0007096945199918137
0.4011641221374046,0.0,0.13138125,0.5,0.014823789887435657,0.30797927606765674,-0.48517621011256434,0.000977675691360381
0.4324045801526718,0.0,0.1416125,0.46,0.002423986146219581,0.2431779516910952,-0.45757601385378044,0.0010659088456325485
0.4645229007633588,0.0,0.15213125,0.42,0.00018751513306952683,0.2922138479088441,-0.41981248486693046,0.0010796437101733096
0.496087786259542,0.0,0.16246875,0.38,-0.0029329575341759395,0.2193402969179692,-0.38293295753417594,0.0010654532047625908
0.5254389312977099,0.0,0.17208125,0.34,0.0027271160430268893,0.2361735432140167,-0.33727288395697314,0.0010644638790957557
0.5628625954198473,3.717472118959108e-05,0.1843625,0.3,0.0030561985065227226,0.2906253425076068,-0.29694380149347727,0.0010999770450015839
0.6013358778625955,8.364312267657993e-05,0.19699375,0.26,-0.0029544100105951543,0.34114711773724776,-0.26295441001059516,0.0011006199029711765
0.6397519083969466,0.00015799256505576208,0.20962499999999998,0.22,-0.0011908169374403588,0.3835582601576503,-0.22119081693744036,0.0010744402040274899
0.6587213740458016,0.0010687732342007435,0.21645,0.2,0.018603181269491537,0.32624866220526083,-0.18139681873050847,0.0011338598973106148
0.6753625954198473,0.002016728624535316,0.2225375,0.18,0.038034081444451945,0.3349297214485623,-0.14196591855554805,0.0013062495656961802
0.6929961832061069,0.0038197026022304837,0.229525,0.16,0.03958172729692344,0.4511934580222625,-0.12041827270307656,0.0015774197974863608
0.7129389312977099,0.008903345724907063,0.23947500000000002,0.14,0.056807868953761206,0.6347372925610515,-0.08319213104623881,0.002056958038833518
0.7238167938931297,0.012899628252788104,0.24572500000000003,0.13,0.06118740127764609,0.6468257997753699,-0.06881259872235392,0.002425693258306666
0.7306679389312977,0.016375464684014872,0.25030625,0.125,0.06397409846854629,1.0625287857578332,-0.061025901531453715,0.002712391318662787
