Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0006666666666666666,0.0,0.0002,1.2,0.17921117099336992,0.00789782471342179,-1.02078882900663,0.0
0.002,0.0,0.0006,1.16,0.13921117099336988,0.02272639356311168,-1.02078882900663,6.368446839734795e-05
0.014,0.0,0.0042,1.12,0.1008235786960252,0.11427668820032755,-1.019176421303975,0.0004957470178382591
0.08266666666666667,0.0,0.0248,1.08,0.11477592012597759,0.6969427359354247,-0.9652240798740225,0.0027164218557048877
0.31133333333333335,0.0,0.0934,1.04,0.3610246383626633,3.1367258519979906,-0.6789753616373367,0.01903638101186527
0.7086666666666667,0.0,0.2126,1.0,0.7632016131681962,2.350166982579635,-0.2367983868318037,0.08604026560310449
0.9233333333333333,0.0,0.27699999999999997,0.96,0.8050081993011042,0.7454579448893107,-0.1549918006988958,0.13653662156461593
0.9973333333333334,0.0,0.2992,0.88,0.7295575179411988,0.02965713769931066,-0.15044248205880117,0.15357030102600555
1.0,0.0,0.3,0.8,inf,0.0,inf,inf
1.0,0.0,0.3,0.72,inf,0.0,inf,
1.0,0.0,0.3,0.64,inf,0.0,inf,
1.0,0.0,0.3,0.56,inf,0.0,inf,
1.0,0.0,0.3,0.5,inf,0.0,inf,
1.0,0.0,0.3,0.46,inf,0.0,inf,
1.0,0.0,0.3,0.42,inf,0.0,inf,
1.0,0.0,0.3,0.38,inf,0.0,inf,
1.0,0.0,0.3,0.34,inf,0.0,inf,
1.0,0.0,0.3,0.3,inf,0.0,inf,
1.0,0.00028571428571428574,0.3002,0.26,0.22040316326459977,0.00789782471345492,-0.03959683673540024,
1.0,0.0005714285714285715,0.3004,0.22,0.18040316326472688,0.015473289234514574,-0.03959683673527312,
1.0,0.0014285714285714286,0.301,0.2,0.16040316326504214,0.03626552164323033,-0.03959683673495787,
1.0,0.002857142857142857,0.302,0.18,0.14019160816360676,0.08059004809615904,-0.03980839183639323,
1.0,0.0054285714285714284,0.3038,0.16,0.12016184565866084,0.12717109589571715,-0.039838154341339166,
1.0,0.019142857142857145,0.3134,0.14,0.09907408145432181,0.46113625520612467,-0.0409259185456782,
1.0,0.022285714285714287,0.3156,0.13,0.08789230965468456,0.9051874202158959,-0.042107690345315446,
1.0,0.04285714285714286,0.33,0.12,0.07722532510670832,0.6930744136268211,-0.04277467489329168,
1.0,0.06628571428571428,0.3464,0.11,0.06542009078215495,1.7529947261872671,-0.04457990921784505,
1.0,0.11,0.377,0.1,0.05168615314696953,3.3565755032041396,-0.04831384685303047,
1.0,0.17742857142857144,0.4242,0.09,0.03780122146601726,6.706542622464497,-0.052198778533982734,
1.0,0.2825714285714286,0.4978,0.08,0.022192015612470133,11.93200134101829,-0.05780798438752987,
1.0,0.4217142857142857,0.5952000000000001,0.07,0.0081686126247262,9.11054375717224,-0.06183138737527381,
1.0,0.5562857142857143,0.6894,0.06,-0.004637548220303503,5.809091846866408,-0.0646375482203035,
1.0,0.7334285714285714,0.8134,0.04,-0.024376521042600012,2.620949544182243,-0.06437652104260001,
1.0,0.8542857142857142,0.898,0.02,-0.041692859654656966,3.1430118757499272,-0.06169285965465697,
1.0,0.9154285714285714,0.9408,-0.0,-0.05952461676430967,1.9477002823875016,-0.05952461676430967,
