Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0,0.0,0.0,1.6,,0.0,,0.0
0.0,0.0,0.0,1.5,,0.0,,
0.0,0.0,0.0,1.4,,0.0,,
0.0,0.0,0.0,1.35,,0.0,,
0.0,0.0,0.0,1.3,,0.0,,
0.0,0.0,0.0,1.25,,0.0,,
0.002153846153846154,0.0,0.0007000000000000001,1.2,0.14375507963748535,0.024257604476938355,-1.0562449203625146,
0.011692307692307693,0.0,0.0038,1.16,0.10662301536327123,0.11733911002798085,-1.0533769846367287,
0.038461538461538464,0.0,0.0125,1.12,0.07742067084507998,0.17125385220429892,-1.0425793291549201,
0.06892307692307693,0.0,0.022400000000000003,1.08,0.06254515386205961,0.33235335834848345,-1.0174548461379405,
0.1036923076923077,0.0,0.0337,1.04,0.051427135763904785,0.23217992856497996,-0.9885728642360953,
0.12953846153846155,0.0,0.0421,1.0,0.03949128526072254,0.17802341624437507,-0.9605087147392775,
0.15169230769230768,0.0,0.0493,0.96,0.03169421513056925,0.15320168143076718,-0.9283057848694307,
0.2006153846153846,0.0,0.0652,0.88,0.04219595243140806,0.32203783219217785,-0.837804047568592,
0.24861538461538463,0.0,0.0808,0.8,0.03133687625635406,0.1721403427333562,-0.768663123743646,
0.2916923076923077,0.0,0.09480000000000001,0.72,0.025349508228374784,0.13668072157105676,-0.6946504917716252,
0.336,0.0,0.1092,0.64,0.018730818236137203,0.28496641006795365,-0.6212691817638628,
0.3836923076923077,0.0,0.1247,0.56,0.012996513880375371,0.18060229778342266,-0.5470034861196247,
0.42,0.0,0.1365,0.5,0.00683226475986326,0.18737186182351706,-0.49316773524013674,
0.44676923076923075,0.0,0.1452,0.46,0.012900533944656678,0.241447784096036,-0.44709946605534334,
0.4710769230769231,0.0,0.1531,0.42,0.005247220232854455,0.2408836537593443,-0.41475277976714553,
0.5012307692307693,0.0,0.1629,0.38,0.0013241428275933553,0.12966938738671172,-0.37867585717240665,
0.5307692307692308,0.0,0.1725,0.34,-0.0002558055236113188,0.2518439003004397,-0.34025580552361134,
0.5676923076923077,0.0,0.1845,0.3,0.0004927285191257957,0.24378489549083296,-0.2995072714808742,
0.5969230769230769,0.0,0.19399999999999998,0.26,-0.012182044453989238,0.3143011875749836,-0.27218204445398925,
0.6415384615384616,0.0,0.20850000000000002,0.22,-0.008181784143276055,0.37272897244458664,-0.22818178414327606,
0.6698461538461539,0.0016296296296296297,0.2188,0.2,0.002060673477734448,0.3671682591260661,-0.19793932652226556,
0.6913846153846154,0.0013333333333333333,0.2256,0.18,-0.008510816360971202,0.45646203241657657,-0.1885108163609712,
0.7264615384615385,0.0034074074074074076,0.2384,0.16,-0.013095182146736023,0.5999123180277048,-0.17309518214673603,
0.7504615384615385,0.008444444444444444,0.24960000000000002,0.14,0.011619211793888279,0.6676079584284198,-0.12838078820611173,
0.7763076923076924,0.01274074074074074,0.2609,0.13,0.023720959856694243,0.9081692519954834,-0.10627904014330576,
0.7907692307692308,0.013333333333333334,0.266,0.125,0.015054745797476302,1.2330277358709307,-0.1099452542025237,
0.796,0.017925925925925925,0.2708,0.12,0.005030150440738415,1.4938171315100872,-0.11496984955926158,
0.8092307692307692,0.025185185185185185,0.28,0.115,0.01648952142350675,1.5312109138266552,-0.09851047857649325,
0.8175384615384615,0.03185185185185185,0.2872,0.11,0.022542303066643524,1.6453264219308221,-0.08745769693335648,
