Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0,0.0,0.0,1.6,,0.0,,0.0
0.0,0.0,0.0,1.5,,0.0,,
0.0,0.0,0.0,1.4,,0.0,,
0.0,0.0,0.0,1.35,,0.0,,
0.0,0.0,0.0,1.3,,0.0,,
0.0,0.0,0.0,1.25,,0.0,,
0.0,0.0,0.0,1.2,,0.0,,
0.0,0.0,0.0,1.16,,0.0,,
0.0,0.0,0.0,1.12,,0.0,,
0.0,0.0,0.0,1.08,,0.0,,
0.0,0.0,0.0,1.04,,0.0,,
0.0,0.0,0.0,1.0,,0.0,,
0.0,0.0,0.0,0.96,,0.0,,
0.0,0.0,0.0,0.88,,0.0,,
0.0,0.0,0.0,0.8,,0.0,,
0.0,0.0,0.0,0.72,,0.0,,
0.0,0.0,0.0,0.64,,0.0,,
0.003125,0.0,0.001,0.56,0.14,0.03626552164326332,-0.42000000000000004,
0.040625,0.0,0.013000000000000001,0.5,0.07999999999999996,0.5198058102201075,-0.42000000000000004,
0.1696875,0.0,0.054299999999999994,0.46,0.040000000000000924,1.6944460562454071,-0.4199999999999991,
0.4934375,0.0,0.15789999999999998,0.42,7.771561172376096e-16,4.378417018039281,-0.4199999999999992,
0.8378125,0.0,0.2681,0.38,-0.03999999999999998,1.9155851482212343,-0.42,
0.96375,0.0,0.3084,0.34,-0.08000000000002855,0.4168117287532418,-0.4200000000000286,
0.9959375,0.0,0.3187,0.3,-0.11999999999998295,0.05363267700798692,-0.41999999999998294,
0.9978125,0.00029411764705882356,0.3195,0.26,-0.0644124748004325,0.0352581460420524,-0.3244124748004325,
1.0,0.00014705882352941178,0.3201,0.22,0.19828135500845176,0.003989207380857035,-0.021718644991548238,
0.9996875,0.0008823529411764705,0.32049999999999995,0.2,0.1304875923995959,0.035258146042098204,-0.06951240760040411,
1.0,0.0013235294117647058,0.3209,0.18,0.15828135500019772,0.03300162469523974,-0.02171864499980229,
1.0,0.004705882352941177,0.3232,0.16,0.13828135500028504,0.11991799156709856,-0.021718644999714952,
1.0,0.008088235294117648,0.32549999999999996,0.14,0.1182813550001663,0.1642022229959893,-0.021718644999833708,
1.0,0.015441176470588236,0.33049999999999996,0.13,0.10828135499990377,0.38179535285555455,-0.021718645000096234,
1.0,0.021323529411764706,0.3345,0.125,0.10328135500014748,0.44626739133231685,-0.021718644999852516,
1.0,0.024264705882352938,0.33649999999999997,0.12,0.09828135499997759,0.6316245019535468,-0.021718645000022414,
1.0,0.031176470588235295,0.34119999999999995,0.115,0.09328135499997564,0.7275669542120149,-0.021718645000024368,
1.0,0.03426470588235294,0.3433,0.11,0.08828135499999135,1.2576479955644435,-0.02171864500000866,
1.0,0.041029411764705884,0.3479,0.105,0.08328135500005086,1.2354051422898116,-0.021718644999949136,
1.0,0.05382352941176471,0.3566,0.1,0.07828135499999704,1.9681701546040054,-0.021718645000002965,
1.0,0.06455882352941177,0.3639,0.095,0.07328135500000003,2.835923497479158,-0.02171864499999997,
1.0,0.0661764705882353,0.365,0.09,0.06828135500000543,2.1557837865717273,-0.021718644999994572,
1.0,0.09970588235294119,0.38780000000000003,0.085,0.06328135500000578,3.0590370456332976,-0.02171864499999422,
1.0,0.1323529411764706,0.41,0.08,0.05828135500002178,4.964346962722242,-0.021718644999978224,
1.0,0.16132352941176473,0.42969999999999997,0.075,0.0532813550000073,5.830327324539449,-0.02171864499999269,
1.0,0.19338235294117648,0.4515,0.07,0.048281355000010656,4.274294675899184,-0.021718644999989347,
1.0,0.2751470588235294,0.5071,0.065,0.04328135499999235,6.634938364731092,-0.021718645000007652,
1.0,0.3136764705882353,0.5333,0.06,0.03828135500000013,8.123920093355617,-0.02171864499999987,
1.0,0.43970588235294117,0.619,0.05,0.028281354999992497,5.81457197013667,-0.021718645000007506,
1.0,0.5280882352941176,0.6790999999999999,0.04,0.018281354999995735,6.125609260763983,-0.021718645000004266,
1.0,0.6170588235294118,0.7395999999999999,0.03,0.008281354999965313,4.915348213479903,-0.021718645000034686,
1.0,0.6941176470588236,0.792,0.02,-0.0017186450000031793,4.3035085683336645,-0.02171864500000318,
1.0,0.7429411764705883,0.8251999999999999,0.01,-0.01171864499997828,4.323494900261988,-0.02171864499997828,
1.0,0.7983823529411764,0.8629000000000001,-0.0,-0.021718645000003606,3.8384636957946214,-0.021718645000003606,
1.0,0.8366176470588236,0.8889,-0.01,-0.03171864500006657,2.7472744445733923,-0.02171864500006657,
1.0,0.8710294117647058,0.9123,-0.02,-0.04171864500003146,2.6985980555230817,-0.02171864500003146,
1.0,0.9033823529411764,0.9343,-0.03,-0.051718644999957195,1.879803166865864,-0.021718644999957196,
1.0,0.9310294117647059,0.9531000000000001,-0.04,-0.061718645000116375,1.1902747153561237,-0.021718645000116374,
1.0,0.960735294117647,0.9732999999999999,-0.06,-0.08171864500007987,1.0239368560856648,-0.021718645000079872,
1.0,0.9814705882352941,0.9873999999999999,-0.08,-0.10171864499968694,0.4401828427016694,-0.02171864499968694,
1.0,0.9927941176470589,0.9951000000000001,-0.1,-0.12171864500022903,0.18128731319211372,-0.021718645000229023,
1.0,0.996764705882353,0.9978,-0.12,-0.14171864500184628,0.10944128531457316,-0.021718645001846285,
