Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0013333333333333333,0.0,0.0004,1.2,0.17921117099336992,0.015473289234459018,-1.02078882900663,0.0
0.0026666666666666666,0.0,0.0008,1.16,0.13921117099336988,0.02965713769937978,-1.02078882900663,6.368446839734796e-05
0.017,0.0,0.0051,1.12,0.10270858621232071,0.14905129395381225,-1.0172914137876794,0.0005838119463895827
0.049,0.0,0.0147,1.08,0.07774865422005206,0.285732015524867,-1.002251345779948,0.0014500067004649718
0.07966666666666668,0.0,0.0239,1.04,0.05814962684795488,0.32957300168916737,-0.9818503731520452,0.002075138793377804
0.11766666666666666,0.0,0.0353,1.0,0.046183653391871915,0.22125997704795472,-0.9538163466081281,0.002669838490744816
0.147,0.0,0.0441,0.96,0.044848255657921166,0.2586537593645635,-0.9151517443420788,0.003070378890563906
0.207,0.0,0.0621,0.88,0.033227204056243576,0.24414755070726046,-0.8467727959437564,0.003773058027991389
0.25266666666666665,0.0,0.0758,0.8,0.016483183455191508,0.2271027555349249,-0.7835168165448085,0.004113574182444719
0.30333333333333334,0.0,0.091,0.72,0.012791872686015449,0.22162263226439152,-0.7072081273139845,0.004336064609117892
0.359,0.0,0.10769999999999999,0.64,0.023656722726448587,0.1841885549237341,-0.6163432772735514,0.004640410380811966
0.4066666666666666,0.0,0.122,0.56,0.006263271604372567,0.14506208657305877,-0.5537367283956275,0.004854338340277337
0.4453333333333333,0.0,0.1336,0.5,-0.001870151214629745,0.18954779312212783,-0.5018701512146297,0.004879818438537846
0.47700000000000004,0.0,0.1431,0.46,-0.003579713168312848,0.19095811896379986,-0.46357971316831287,0.0048539315827188685
0.5076666666666667,0.0,0.1523,0.42,0.00642890224704179,0.12777552125643535,-0.4135710977529582,0.004867037852481022
0.535,0.0,0.1605,0.38,-0.008363375644545756,0.22867426147279743,-0.38836337564454576,0.0048591065115512555
0.5703333333333334,0.0,0.1711,0.34,-0.008439052627771726,0.23286494397379842,-0.34843905262777175,0.004770053641707973
0.6093333333333334,0.0,0.18280000000000002,0.3,-0.004572970225124318,0.22629685505396252,-0.3045729702251243,0.004693933308018531
0.6456666666666667,0.00014285714285714287,0.1938,0.26,-0.007447056127521889,0.44953128828028455,-0.2674470561275219,0.004627823163078977
0.6920000000000001,0.00014285714285714287,0.2077,0.22,-0.016966788352628548,0.3695456655448552,-0.23696678835262855,0.004458146943941931
0.7213333333333334,0.0005714285714285715,0.2168,0.2,-0.001792311492044063,0.34557012623624767,-0.20179231149204407,0.0043727930396486705
0.7573333333333333,0.0037142857142857142,0.2298,0.18,0.01035707193666624,0.5397921421479122,-0.16964292806333375,0.004428463982538715
0.7823333333333333,0.007285714285714286,0.2398,0.16,0.013673956224884598,0.5962051758152509,-0.1463260437751154,0.00454861912334647
0.821,0.016285714285714285,0.2577,0.14,0.03069686542484179,1.2802132090312415,-0.10930313457515822,0.0049457379771115206
0.8436666666666667,0.03271428571428572,0.276,0.13,0.04124517557289263,1.450620865730496,-0.08875482442710737,0.005604007652240792
0.8623333333333334,0.04657142857142857,0.2913,0.12,0.03368806333018322,2.028088855363471,-0.08631193666981678,0.006177246929849322
0.8853333333333333,0.06757142857142857,0.3129,0.11,0.03680758881905258,3.612811561125953,-0.07319241118094742,0.0069385999730610685
0.909,0.1122857142857143,0.3513,0.1,0.03385795131072755,3.9864270240995583,-0.06614204868927245,0.008295378343552847
0.925,0.17785714285714285,0.402,0.09,0.027594796895310955,7.6157595450852416,-0.06240520310468904,0.009853205510575924
0.9466666666666667,0.2934285714285714,0.4894,0.08,0.017677532762310648,9.911125294959538,-0.062322467237689354,0.011831606316613986
0.9653333333333334,0.4247142857142857,0.5869,0.07,0.0035903644782963595,12.182757275669614,-0.06640963552170365,0.012868416307093579
0.9713333333333334,0.5455714285714285,0.6733,0.06,-0.008237803156224063,9.155472708986379,-0.06823780315622406,0.012667646956207103
0.988,0.7235714285714285,0.8029000000000001,0.04,-0.025349251139328073,4.08023384008319,-0.06534925113932807,0.010491205837855323
0.996,0.8492857142857143,0.8933,0.02,-0.045414391596608636,3.4496973037793093,-0.06541439159660864,0.007292689186190986
0.997,0.9205714285714285,0.9434999999999999,-0.0,-0.06327004355546004,1.816298208967387,-0.06327004355546004,0.004564709863874067
