Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0,0.0,0.0,1.6,,0.0,,0.0
0.0,0.0,0.0,1.5,,0.0,,
0.0,0.0,0.0,1.4,,0.0,,
0.0,0.0,0.0,1.35,,0.0,,
0.0,0.0,0.0,1.3,,0.0,,
0.0,0.0,0.0,1.25,,0.0,,
0.0,0.0,0.0,1.2,,0.0,,
0.00031707317073170733,0.0,0.000104,1.16,0.11648204645075788,0.003972767010947353,-1.043517953549242,
0.002073170731707317,0.0,0.00068,1.12,0.09843864828205895,0.02453161064046523,-1.0215613517179412,
0.0067073170731707325,0.0,0.0022,1.08,0.056632307262362236,0.07881706703802561,-1.0233676927376378,
0.026170731707317072,0.0,0.008584,1.04,0.022835125711304638,0.20234033499671206,-1.0171648742886954,
0.06070731707317073,0.0,0.019912,1.0,0.013885379501528128,0.25612033061261386,-0.9861146204984719,
0.10482926829268292,0.0,0.034384,0.96,0.0013530224871256546,0.406426572795379,-0.9586469775128743,
0.19270731707317074,0.0,0.063208,0.88,0.001847222909178381,0.311978904749008,-0.8781527770908216,
0.2776585365853659,0.0,0.091072,0.8,0.010439080860716876,0.5145436024395899,-0.7895609191392832,
0.36617073170731707,0.0,0.120104,0.72,-0.014264416204624375,0.18384975436154238,-0.7342644162046243,
0.42948780487804883,0.0,0.14087200000000002,0.64,0.005774138634943027,0.33057264064568703,-0.634225861365057,
0.5141707317073171,0.0,0.168648,0.56,-0.0006339234207837219,0.39674674093850526,-0.5606339234207838,
0.5832439024390244,0.0,0.191304,0.5,0.005142871250563341,0.5888631000733557,-0.49485712874943666,
0.6393658536585366,0.0,0.20971199999999998,0.46,-0.007251252976510469,0.603076605676152,-0.4672512529765105,
0.6980731707317073,0.0,0.22896799999999998,0.42,-0.0037225323076353067,0.38439389836636584,-0.4237225323076353,
0.7488292682926829,0.0,0.245616,0.38,-0.0002909408764456556,0.30842907431031547,-0.38029094087644566,
0.7931463414634146,0.0,0.260152,0.34,0.002408271737248946,0.36283444869987946,-0.3375917282627511,
0.8317073170731708,1.1904761904761905e-05,0.272808,0.3,-0.016112908280326854,0.2972792799764162,-0.31611290828032684,
0.872609756097561,5.9523809523809524e-05,0.28625599999999995,0.26,-0.0036690250706467586,0.30105347310914743,-0.26366902507064677,
0.9110243902439024,0.0002023809523809524,0.298952,0.22,-0.007204209184190291,0.27154204221632594,-0.2272042091841903,
0.9312195121951219,0.001011904761904762,0.30612,0.2,0.005287749755283511,0.3791278222633807,-0.1947122502447165,
0.9471463414634146,0.0015,0.311672,0.18,0.005925607917116188,0.3488826995726386,-0.1740743920828838,
0.9623658536585366,0.004428571428571428,0.318632,0.16,0.026554853249076332,0.3500947738964626,-0.13344514675092367,
0.9766341463414635,0.009238095238095238,0.326544,0.14,0.06928932461203764,0.4118164352122388,-0.07071067538796237,
0.9822195121951219,0.013452380952380952,0.331208,0.13,0.060940799039742324,0.4099764032336226,-0.06905920096025768,
0.9850975609756099,0.015142857142857144,0.33328800000000003,0.125,0.06524764045143497,0.5626204015317099,-0.05975235954856503,
0.9874634146341462,0.019107142857142857,0.336728,0.12,0.06899635984430708,0.7085077301971778,-0.05100364015569292,
0.9873902439024389,0.023857142857142858,0.33989600000000003,0.115,0.0647425808440055,0.7982682810462829,-0.0502574191559945,
0.9917317073170732,0.028892857142857144,0.344704,0.11,0.07928503548572272,1.0634740113212635,-0.030714964514277292,
