Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0,0,0,1.6,,0,
0,0,0,1.5,,0,
0,0,0,1.4,,0,
0,0,0,1.35,,0,
0,0,0,1.3,,0,
0.001538462,0,0.0005,1.25,0.19375508,0.018132761,-1.05624492
0.003076923,0,0.001,1.2,0.144649739,0.040295024,-1.055350261
0.012615385,0,0.0041,1.16,0.107380664,0.126445785,-1.052619336
0.042153846,0,0.0137,1.12,0.078770985,0.224120924,-1.041229015
0.068615385,0,0.0223,1.08,0.061041428,0.219285521,-1.018958572
0.099692308,0,0.0324,1.04,0.05117517,0.219527291,-0.98882483
0.127692308,0,0.0415,1,0.045152907,0.171253852,-0.954847093
0.148923077,0,0.0484,0.96,0.035895017,0.205021082,-0.924104983
0.207384615,0,0.0674,0.88,0.041741227,0.227586296,-0.838258773
0.247692308,0,0.0805,0.8,0.025396295,0.203489871,-0.774603705
0.290153846,0,0.0943,0.72,0.012911052,0.193496705,-0.707088948
0.336923077,0,0.1095,0.64,0.021765399,0.155135843,-0.618234601
0.383692308,0,0.1247,0.56,0.013157729,0.237015331,-0.546842271
0.422461538,0,0.1373,0.5,0.008392829,0.283757559,-0.491607171
0.444307692,0,0.1444,0.46,0.002875871,0.158278854,-0.457124129
0.475384615,0,0.1545,0.42,0.013298751,0.26796191,-0.406701249
0.501538462,0,0.163,0.38,0.001676883,0.21759313,-0.378323117
0.528,0,0.1716,0.34,-0.005321394,0.180844068,-0.345321394
0.564,0,0.1833,0.3,-0.000603151,0.254745142,-0.300603151
0.599384615,0,0.1948,0.26,-0.007567548,0.338155842,-0.267567548
0.636615385,0,0.2069,0.22,-0.020880672,0.498771808,-0.240880672
0.661538462,0.001185185,0.2158,0.2,-0.008031204,0.413910487,-0.208031204
0.686153846,0.001185185,0.2238,0.18,-0.018064414,0.560584375,-0.198064414
0.716615385,0.005481481,0.2366,0.16,0.021850448,0.793328433,-0.138149552
0.756615385,0.011555556,0.2537,0.14,0.005484362,1.013903395,-0.134515638
0.771384615,0.015851852,0.2614,0.13,0.007503139,1.459002231,-0.122496861
0.784307692,0.014962963,0.265,0.125,0.014120588,1.224968731,-0.110879412
0.791384615,0.018814815,0.2699,0.12,0.030549697,1.382038735,-0.089450303
0.810769231,0.027851852,0.2823,0.115,0.032333492,0.694766805,-0.082666508
0.822769231,0.032740741,0.2895,0.11,0.033606368,1.444576612,-0.076393632
0.833846154,0.03762963,0.2964,0.105,0.023749194,1.596005312,-0.081250806
0.855384615,0.036888889,0.3029,0.1,0.013791891,1.660880301,-0.086208109
0.869538462,0.059407407,0.3227,0.095,0.029969078,3.741070623,-0.065030922
0.879384615,0.075407407,0.3367,0.09,0.03645155,4.517958686,-0.05354845
0.903692308,0.096444444,0.3588,0.085,0.019082149,3.123347904,-0.065917851
0.913846154,0.13037037,0.385,0.08,0.011790467,3.110775857,-0.068209533
0.941538462,0.157333333,0.4122,0.075,0.011714677,3.104006292,-0.063285323
0.942769231,0.228444444,0.4606,0.07,0.017094477,5.815700231,-0.052905523
0.944615385,0.277333333,0.4942,0.065,0.011928259,7.739545859,-0.053071741
0.964923077,0.329185185,0.5358,0.06,0.014198694,11.60786817,-0.045801306
0.972307692,0.439555556,0.6127,0.05,-0.002498693,11.85648847,-0.052498693
0.982153846,0.551555556,0.6915,0.04,-0.008511659,7.311532114,-0.048511659
0.986769231,0.627851852,0.7445,0.03,-0.018076949,3.991222132,-0.048076949
0.993230769,0.710666667,0.8025,0.02,-0.023710621,3.65274393,-0.043710621
0.997538462,0.769333333,0.8435,0.01,-0.028251256,3.572153882,-0.038251256
0.995692308,0.81762963,0.8755,0,-0.033006899,3.209498665,-0.033006899
0.998769231,0.861481481,0.9061,-0.01,-0.04546188,2.274976468,-0.03546188
0.999692308,0.894222222,0.9285,-0.02,-0.05449504,1.412340593,-0.03449504
0.999692308,0.916740741,0.9437,-0.03,-0.060905693,1.932629943,-0.030905693
0.999076923,0.936592593,0.9569,-0.04,-0.071481242,0.982312096,-0.031481242
1,0.97362963,0.9822,-0.06,-0.086287501,0.581537787,-0.026287501
0.999384615,0.984148148,0.9891,-0.08,-0.104576465,0.481041997,-0.024576465
1,0.991851852,0.9945,-0.1,-0.124948022,0.292138924,-0.024948022
1,0.996,0.9973,-0.12,-0.144376263,0.082282439,-0.024376263
