Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.000307692,0,0.0001,1.4,0.119342135,0.003948912,-1.280657865,
0.000615385,0,0.0002,1.35,0.118646568,0.007736645,-1.231353432,
0.006769231,0,0.0022,1.3,0.029790014,0.065761479,-1.270209986,
0.022153846,0,0.0072,1.25,0.012607339,0.081879489,-1.237392661,
0.038769231,0,0.0126,1.2,-0.000899798,0.138937243,-1.200899798,
0.049538462,0,0.0161,1.16,-0.02734212,0.058750145,-1.18734212,
0.061230769,0,0.0199,1.12,-0.013338804,0.076479956,-1.133338804,
0.067384615,0,0.0219,1.08,0.004737379,0.047467538,-1.075262621,
0.076615385,0,0.0249,1.04,0.019308432,0.028125927,-1.020691568,
0.081230769,0,0.0264,1,0.078347526,0.048676389,-0.921652474,
0.085538462,0,0.0278,0.96,0.031624888,0.073820484,-0.928375112,
0.121538462,0,0.0395,0.88,-0.006015203,0.195430867,-0.886015203,
0.168307692,0,0.0547,0.8,0.0033061,0.28536936,-0.7966939,
0.230153846,0,0.0748,0.72,-0.015194648,0.136680722,-0.735194648,
0.268923077,0,0.0874,0.64,0.008356297,0.098642219,-0.631643703,
0.317538462,0,0.1032,0.56,0.026850725,0.376839065,-0.533149275,
0.371384615,0,0.1207,0.5,-0.019896369,0.249909739,-0.519896369,
0.396,0,0.1287,0.46,-0.006109239,0.087117842,-0.466109239,
0.421538462,0,0.137,0.42,0.019435066,0.169239101,-0.400564934,
0.444307692,0,0.1444,0.38,-0.006777009,0.158278854,-0.386777009,
0.472615385,0,0.1536,0.34,0.0031058,0.145384447,-0.3368942,
0.499384615,0,0.1623,0.3,0.002048427,0.259580545,-0.297951573,
0.528,0,0.1716,0.26,0.015168139,0.28561113,-0.244831861,
0.558461538,0.000888889,0.1821,0.22,0.021495855,0.492324604,-0.198504145,
0.577230769,0.000888889,0.1882,0.2,0.016744749,0.255953993,-0.183255251,
0.609230769,0.002222222,0.1995,0.18,0.008342058,0.477496035,-0.171657942,
0.633230769,0.002962963,0.2078,0.16,0.03658364,0.347826648,-0.12341636,
0.652923077,0.008148148,0.2177,0.14,0.053808764,0.428819646,-0.086191236,
0.661230769,0.012444444,0.2233,0.13,0.037932581,0.746344435,-0.092067419,
0.668,0.012296296,0.2254,0.125,0.040506616,0.756257011,-0.084493384,
0.673846154,0.017481481,0.2308,0.12,0.040054238,0.558972574,-0.079945762,
0.671076923,0.026814815,0.2362,0.115,0.063170982,0.657292432,-0.051829018,
0.685846154,0.037333333,0.2481,0.11,0.078576658,1.232141245,-0.031423342,
0.686461538,0.036444444,0.2477,0.105,0.045454394,1.202484108,-0.059545606,
0.688923077,0.051111111,0.2584,0.1,0.066989299,1.615346924,-0.033010701,
0.695076923,0.059407407,0.266,0.095,0.069467449,1.023493611,-0.025532551,
0.691384615,0.084148148,0.2815,0.09,0.059995202,4.28940531,-0.030004798,
0.699384615,0.103703704,0.2973,0.085,0.053955958,3.193058296,-0.031044042,
0.703384615,0.126666667,0.3141,0.08,0.057105409,2.866507421,-0.022894591,
0.704615385,0.155555556,0.334,0.075,0.049702949,7.228927314,-0.025297051,
0.707076923,0.226814815,0.3829,0.07,0.046624425,5.851562802,-0.023375575,
0.709538462,0.249333333,0.3989,0.065,0.047488598,6.288360863,-0.017511402,
0.710153846,0.303703704,0.4358,0.06,0.038830911,5.837620724,-0.021169089,
0.712615385,0.446074074,0.5327,0.05,0.025867869,9.358196975,-0.024132131,
0.716615385,0.553481481,0.6065,0.04,0.016553285,5.393488969,-0.023446715,
0.722153846,0.647555556,0.6718,0.03,0.007920475,4.293515402,-0.022079525,
0.721538462,0.703703704,0.7095,0.02,-0.001744276,2.991905536,-0.021744276,
0.723076923,0.755407407,0.7449,0.01,-0.010525912,5.484072183,-0.020525912,
0.722769231,0.815703704,0.7855,0,-0.021521881,2.36330316,-0.021521881,
0.724307692,0.848,0.8078,-0.01,-0.029470823,1.967686614,-0.019470823,
0.725230769,0.893333333,0.8387,-0.02,-0.042641059,2.585409333,-0.022641059,
0.728307692,0.916444444,0.8553,-0.03,-0.049260081,1.921347337,-0.019260081,
0.730769231,0.943851852,0.8746,-0.04,-0.059455483,1.094735213,-0.019455483,
0.738153846,0.969333333,0.8942,-0.06,-0.072325239,1.018335848,-0.012325239,
0.741230769,0.984296296,0.9053,-0.08,-0.068117336,0.341782394,0.011882664,
0.751384615,0.991555556,0.9135,-0.1,-0.080458686,0.28407992,0.019541314,
0.760923077,0.99762963,0.9207,-0.12,-0.041278847,0.306322773,0.078721153,
