Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.0005846153846153846,0.0,0.00018999999999999998,0.9,0.19999999999999996,0.007365124495506299,-0.7000000000000001
0.0028923076923076923,0.0,0.00094,0.85,0.15000000000000013,0.040427191726948024,-0.6999999999999998
0.007261538461538461,0.0,0.0023599999999999997,0.82,0.11999999999999977,0.09453535001869688,-0.7000000000000002
0.017446153846153844,0.0,0.00567,0.8,0.10000000000000053,0.2167960942839091,-0.6999999999999995
0.040584615384615386,0.0,0.01319,0.78,0.08000000000000052,0.5236249725993837,-0.6999999999999995
0.08350769230769231,0.0,0.02714,0.76,0.05999999999999939,0.9922278957616082,-0.7000000000000006
0.11633846153846154,0.0,0.03781,0.75,0.04999999999999871,1.309216761440562,-0.7000000000000013
0.16796923076923076,0.0,0.05459,0.74,0.039999999999999036,1.7019159478034411,-0.700000000000001
0.30396923076923077,0.0,0.09878999999999999,0.72,0.01999999999999913,2.6899821734813685,-0.7000000000000008
0.49833846153846156,0.0,0.16196000000000002,0.7,-1.2323475573339238e-14,2.9855260273618964,-0.7000000000000123
0.6885846153846155,0.0,0.22379000000000002,0.68,-0.02000000000001545,2.6690287609763406,-0.7000000000000155
0.7689230769230768,0.0,0.24989999999999998,0.67,-0.030000000000049987,2.5659065413330193,-0.70000000000005
0.8278769230769231,0.0,0.26905999999999997,0.66,-0.03999999999998871,1.62240983585425,-0.6999999999999887
0.8876000000000001,0.0,0.28847,0.65,-0.05000000000001459,1.2556662862815402,-0.7000000000000146
0.9201538461538462,0.0,0.29905000000000004,0.64,-0.060000000000043574,1.0512770299021517,-0.7000000000000436
0.9460615384615385,0.0,0.30747,0.63,-0.07000000000017093,0.6966937126867513,-0.7000000000001709
0.9577538461538461,0.0,0.31127,0.62,-0.07999999999999996,0.46288586515040975,-0.7
0.9818153846153845,0.0,0.31909,0.6,-0.10000000000007947,0.23066402976035238,-0.7000000000000794
0.9922769230769232,0.0,0.32249,0.58,-0.11999999999968314,0.11564591311731368,-0.6999999999996831
0.9977846153846153,0.0,0.32427999999999996,0.55,-0.1499999999994429,0.03289363403106356,-0.699999999999443
0.9998769230769231,0.0,0.32496,0.5,-0.20000000006876217,0.0015989065540386322,-0.7000000000687622
1.0,0.0,0.325,0.4,,0.0,
1.0,0.0,0.325,0.3,,0.0,
1.0,0.00011851851851851852,0.32508000000000004,0.25,0.22794170250753118,0.00317202429275161,-0.022058297492468817
1.0,0.0007111111111111111,0.32548,0.2,0.17791348476761373,0.018290717315713852,-0.022086515232386278
1.0,0.006251851851851851,0.32921999999999996,0.15,0.12744348235069786,0.16272420151397293,-0.02255651764930214
1.0,0.019555555555555555,0.3382,0.12,0.09623251524232324,0.5444663649375518,-0.02376748475767676
1.0,0.031540740740740744,0.34629,0.11,0.0851253357164755,0.8759001908374204,-0.0248746642835245
1.0,0.049525925925925925,0.35843,0.1,0.07344485405699502,1.6519759067990296,-0.026555145943004985
1.0,0.07663703703703703,0.37673,0.09,0.06139801279002843,2.409296706768147,-0.028601987209971563
1.0,0.12945185185185185,0.41237999999999997,0.08,0.0476989900876793,3.6759989942363287,-0.032301009912320704
1.0,0.16068148148148148,0.43345999999999996,0.075,0.040661846439431916,5.3530198702824565,-0.03433815356056808
1.0,0.20958518518518518,0.46647,0.07,0.032810690838651034,7.353754045620728,-0.03718930916134897
1.0,0.26653333333333334,0.50491,0.065,0.025181190821482777,8.799159123438233,-0.039818809178517225
1.0,0.32439999999999997,0.54397,0.06,0.017922216279748895,8.33453493095084,-0.0420777837202511
1.0,0.39179259259259264,0.58946,0.055,0.01115247027956854,8.121126842288877,-0.04384752972043146
1.0,0.44634074074074076,0.62628,0.05,0.00534304298712214,7.841102213969864,-0.04465695701287786
1.0,0.5059851851851852,0.6665399999999999,0.045,-0.0001255671031736988,6.848771162946823,-0.0451255671031737
1.0,0.5510666666666667,0.69697,0.04,-0.0050513892702604285,6.463072834061474,-0.04505138927026043
1.0,0.6350074074074074,0.75363,0.03,-0.013848538898626396,5.182529205833002,-0.043848538898626395
1.0,0.7109037037037037,0.80486,0.02,-0.02161568003146719,4.776414194163032,-0.04161568003146719
1.0,0.7657185185185185,0.84186,0.01,-0.029602675728987227,3.539840496176212,-0.03960267572898723
1.0,0.8154370370370371,0.87542,-0.0,-0.03716606202614015,2.8514660941552266,-0.03716606202614015
1.0,0.8577185185185185,0.90396,-0.01,-0.044538096879191226,2.8683480974299287,-0.034538096879191224
1.0,0.8918518518518519,0.927,-0.02,-0.0524102917096297,2.3064871765108785,-0.0324102917096297
1.0,0.9200296296296295,0.9460200000000001,-0.03,-0.06058099768111107,1.8459924180873997,-0.030580997681111072
1.0,0.9403555555555555,0.95974,-0.04,-0.06888505304192652,1.1809053163633845,-0.028885053041926515
1.0,0.9702814814814815,0.97994,-0.06,-0.0866140896940927,0.6890158988047763,-0.026614089694092714
1.0,0.9848148148148147,0.9897499999999999,-0.08,-0.10537143223385864,0.3690016827217171,-0.025371432233858637
1.0,0.9937333333333334,0.9957699999999999,-0.1,-0.1247067424419564,0.1608343648867669,-0.024706742441956392
1.0,0.9969185185185185,0.99792,-0.12,-0.14440453875666062,0.0787654894070131,-0.024404538756660626
