Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.00035122,0,0.0001152,0.9,0.2,0.004761441,-0.7
0.00215122,0,0.0007056,0.85,0.15,0.030264155,-0.7
0.007385366,0,0.0024224,0.82,0.12,0.099302619,-0.7
0.017482927,0,0.0057344,0.8,0.1,0.239446263,-0.7
0.03775122,0,0.0123824,0.78,0.08,0.465185306,-0.7
0.080170732,0,0.026296,0.76,0.06,1.02404936,-0.7
0.121117073,0,0.0397264,0.75,0.05,1.419520019,-0.7
0.167565854,0,0.0549616,0.74,0.04,2.029453354,-0.7
0.308663415,0,0.1012416,0.72,0.02,2.713773755,-0.7
0.499,0,0.163672,0.7,-2.33E-15,3.15805836,-0.7
0.690229268,0,0.2263952,0.68,-0.02,2.918403724,-0.7
0.769019512,0,0.2522384,0.67,-0.03,2.226041494,-0.7
0.833702439,0,0.2734544,0.66,-0.04,1.673821464,-0.7
0.882004878,0,0.2892976,0.65,-0.05,1.431461272,-0.7
0.917434146,0,0.3009184,0.64,-0.06,1.005790827,-0.7
0.943858537,0,0.3095856,0.63,-0.07,0.669563731,-0.7
0.961521951,0,0.3153792,0.62,-0.08,0.486091112,-0.7
0.98255122,0,0.3222768,0.6,-0.1,0.197739404,-0.7
0.992239024,0,0.3254544,0.58,-0.12,0.090646087,-0.7
0.997926829,0,0.32732,0.55,-0.15,0.024918443,-0.7
0.999565854,0,0.3278576,0.5,-0.2,0.005458409,-0.7
0.999990244,0,0.3279968,0.4,-0.300000004,0.000128738,-0.700000004
1,0.00015,0.3281008,0.25,0.228281355,0.003857027,-0.021718645
1,0.000711905,0.3284784,0.2,0.178281355,0.01788965,-0.021718645
1,0.005159524,0.3314672,0.15,0.128281355,0.142243936,-0.021718645
1,0.019038095,0.3407936,0.12,0.098281355,0.485937823,-0.021718645
1,0.028064286,0.3468592,0.11,0.088281355,0.819717148,-0.021718645
1,0.040611905,0.3552912,0.1,0.078281355,0.957022991,-0.021718645
1,0.058483333,0.3673008,0.09,0.068281355,1.430133251,-0.021718645
1,0.088764286,0.3876496,0.08,0.058281355,2.275903653,-0.021718645
1,0.104883333,0.3984816,0.075,0.053281355,2.400327466,-0.021718645
1,0.123835714,0.4112176,0.07,0.048281355,2.907411912,-0.021718645
1,0.147459524,0.4270928,0.065,0.043281355,3.480575142,-0.021718645
1,0.174004762,0.4449312,0.06,0.038281355,4.056130698,-0.021718645
1,0.208971429,0.4684288,0.055,0.033281355,4.296580455,-0.021718645
1,0.243854762,0.4918704,0.05,0.028281355,4.95414434,-0.021718645
1,0.280404762,0.516432,0.045,0.023281355,5.274823669,-0.021718645
1,0.324290476,0.5459232,0.04,0.018281355,6.180944438,-0.021718645
1,0.418257143,0.6090688,0.03,0.008281355,6.937515041,-0.021718645
1,0.518047619,0.676128,0.02,-0.001718645,7.132340464,-0.021718645
1,0.617102381,0.7426928,0.01,-0.011718645,6.781878767,-0.021718645
1,0.705580952,0.8021504,0,-0.021718645,5.780365118,-0.021718645
1,0.780847619,0.8527296,-0.01,-0.031718645,4.920741377,-0.021718645
1,0.842359524,0.8940656,-0.02,-0.041718645,3.621630059,-0.021718645
1,0.887530952,0.9244208,-0.03,-0.051718645,2.553715833,-0.021718645
1,0.92335,0.9484912,-0.04,-0.061718645,1.986486712,-0.021718645
1,0.964464286,0.97612,-0.06,-0.081718645,0.948158034,-0.021718645
1,0.98322619,0.988728,-0.08,-0.101718645,0.472669013,-0.021718645
1,0.99232619,0.9948432,-0.1,-0.121718645,0.193468776,-0.021718645
1,0.996966667,0.9979616,-0.12,-0.141718645,0.07772357,-0.021718645
1,0.99867381,0.9991088,-0.14,-0.161718645,0.034479698,-0.021718645
