Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
6.10E-05,0,2.00E-05,0.64,0.27,0.000797841,-0.37,
0.000987805,0,0.000324,0.56,0.19,0.013519464,-0.37,
0.005402439,0,0.001772,0.5,0.13,0.067131832,-0.37,
0.025536585,0,0.008376,0.46,0.09,0.251816177,-0.37,
0.117182927,0,0.038436,0.42,0.05,1.297699315,-0.37,
0.398719512,0,0.13078,0.38,0.01,3.382033899,-0.37,
0.768353659,0,0.25202,0.34,-0.03,2.272147757,-0.37,
0.94702439,2.38E-05,0.31064,0.3,-0.069851589,0.650329452,-0.369851589,
0.986292683,2.38E-05,0.32352,0.26,-0.10849423,0.259371011,-0.36849423,
0.998390244,0.000136905,0.327564,0.22,-0.103928485,0.024376555,-0.323928485,
0.99902439,0.000892857,0.32828,0.2,0.057149597,0.035814217,-0.142850403,
0.999402439,0.001958333,0.32912,0.18,0.126166511,0.082072905,-0.053833489,
0.999670732,0.003607143,0.330316,0.16,0.122591603,0.107751796,-0.037408397,
0.999987805,0.008946429,0.334008,0.14,0.117371093,0.247248978,-0.022628907,
0.99997561,0.013541667,0.337092,0.13,0.106349115,0.412289338,-0.023650885,
0.999878049,0.016880952,0.339304,0.125,0.101033212,0.462820265,-0.023966788,
0.999902439,0.020369048,0.341656,0.12,0.096202444,0.483412634,-0.023797556,
0.999914634,0.025184524,0.344896,0.115,0.090412999,0.637249365,-0.024587001,
1,0.031422619,0.349116,0.11,0.085389159,0.9795427,-0.024610841,
0.999939024,0.038684524,0.353976,0.105,0.080019824,1.021225485,-0.024980176,
0.999987805,0.049928571,0.361548,0.1,0.073765987,1.561103697,-0.026234013,
1,0.062660714,0.370108,0.095,0.067650874,1.761946991,-0.027349126,
1,0.079702381,0.38156,0.09,0.061447273,2.746154243,-0.028552727,
1,0.099642857,0.39496,0.085,0.054776544,3.646989801,-0.030223456,
1,0.12585119,0.412572,0.08,0.048216184,4.18844242,-0.031783816,
1,0.163440476,0.437832,0.075,0.040495028,5.926990574,-0.034504972,
1,0.207922619,0.467724,0.07,0.03313287,6.147969453,-0.03686713,
1,0.266095238,0.506816,0.065,0.025190565,8.655172592,-0.039809435,
1,0.329053571,0.549124,0.06,0.01771852,8.068849368,-0.04228148,
1,0.447958333,0.629028,0.05,0.005137978,6.86319388,-0.044862022,
1,0.549738095,0.697424,0.04,-0.005126025,5.510187872,-0.045126025,
1,0.634696429,0.754516,0.03,-0.013857469,5.409158575,-0.043857469,
1,0.708119048,0.803856,0.02,-0.021898263,4.453632999,-0.041898263,
1,0.765434524,0.842372,0.01,-0.029506804,3.673891081,-0.039506804,
1,0.816541667,0.876716,0,-0.036959943,2.979723222,-0.036959943,
1,0.858333333,0.9048,-0.01,-0.04452033,2.56437533,-0.03452033,
1,0.889970238,0.92606,-0.02,-0.05249071,2.178598829,-0.03249071,
1,0.921636905,0.94734,-0.03,-0.060254476,1.512925032,-0.030254476,
1,0.94335119,0.961932,-0.04,-0.068543705,1.073849819,-0.028543705,
1,0.969755952,0.979676,-0.06,-0.086492471,0.889049747,-0.026492471,
1,0.98622619,0.990744,-0.08,-0.105134244,0.374390417,-0.025134244,
1,0.993446429,0.995596,-0.1,-0.124577905,0.183196975,-0.024577905,
1,0.997107143,0.998056,-0.12,-0.144206469,0.066020657,-0.024206469,
