Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0,0.0,0.0,1.6,,0.0,,0.0
0.0,0.0,0.0,1.5,,0.0,,
1.4634146341463413e-05,0.0,4.8e-06,1.4,0.3428679395726195,0.00019295191675370392,-1.0571320604273804,
0.0,0.0,0.0,1.35,,0.0,,
4.878048780487805e-05,0.0,1.6e-05,1.3,0.2428679395726201,0.0006395626216909727,-1.05713206042738,
0.00027317073170731707,0.0,8.96e-05,1.25,0.19286793957261983,0.0034486867045762253,-1.0571320604273802,
0.0032,0.0,0.0010496000000000001,1.2,0.14343390107529008,0.0409868863873738,-1.0565660989247099,
0.013429268292682926,0.0,0.0044047999999999995,1.16,0.106136561945809,0.15652475081557132,-1.053863438054191,
0.03919512195121951,0.0,0.012856,1.12,0.07816781116425231,0.2517001276546362,-1.0418321888357478,
0.0719219512195122,0.0,0.023590399999999997,1.08,0.06275531032740966,0.25154224852681484,-1.0172446896725904,
0.10158536585365854,0.0,0.03332,1.04,0.05387403393633916,0.23354995938261316,-0.9861259660636609,
0.12929756097560974,0.0,0.0424096,1.0,0.04725537906017174,0.22059567005790248,-0.9527446209398283,
0.15486829268292682,0.0,0.050796799999999996,0.96,0.04186210369769161,0.22149992908075672,-0.9181378963023084,
0.20305365853658539,0.0,0.06660160000000001,0.88,0.033542865807167366,0.18186912176187628,-0.8464571341928326,
0.2481951219512195,0.0,0.08140800000000001,0.8,0.026863079855447336,0.1823578713911785,-0.7731369201445527,
0.2931756097560976,0.0,0.09616160000000001,0.72,0.02249979843037675,0.1758048818227297,-0.6975002015696232,
0.33725853658536586,0.0,0.1106208,0.64,0.014784176298610285,0.18487774812064536,-0.6252158237013897,
0.38357560975609756,0.0,0.1258128,0.56,0.011125019839079986,0.20850571866984843,-0.5488749801609201,
0.42005853658536585,0.0,0.1377792,0.5,0.007787470148535536,0.2051993346484952,-0.49221252985146446,
0.4453560975609756,0.0,0.14607679999999998,0.46,0.005680015072459577,0.22411491496137473,-0.45431998492754044,
0.47224390243902437,0.0,0.15489599999999998,0.42,0.002842560357071422,0.2188903072738173,-0.41715743964292856,
0.5003317073170732,0.0,0.1641088,0.38,0.00122492963896903,0.23044245870564126,-0.378775070361031,
0.5303560975609756,0.0,0.1739568,0.34,-0.0030608462718640927,0.2513388779288004,-0.3430608462718641,
0.5631658536585366,0.0,0.1847184,0.3,-0.004949895160497209,0.25670955346657637,-0.3049498951604972,
0.5989365853658537,0.00010476190476190477,0.19652160000000002,0.26,-0.005922370375169184,0.3086263071704714,-0.2659223703751692,
0.6410536585365854,0.0002523809523809524,0.21043520000000002,0.22,-0.010446126948161799,0.37605333127018775,-0.2304461269481618,
0.6635414634146342,0.0006404761904761904,0.21807200000000002,0.2,-0.0058516055088142505,0.4173520044356702,-0.20585160550881426,
0.6910243902439025,0.0016857142857142858,0.2277888,0.18,-0.0015983047090977476,0.5237747604862778,-0.18159830470909774,
0.7203317073170732,0.004202380952380952,0.23909280000000002,0.16,0.01133850579594381,0.6797808466466971,-0.1486614942040562,
0.7543268292682926,0.008559523809523809,0.2531712,0.14,0.012664990884991012,0.8477648060036732,-0.127335009115009,
0.7724585365853659,0.013859523809523808,0.26268,0.13,0.022026926006413955,1.1199115443633265,-0.10797307399358605,
0.7837073170731707,0.01634285714285714,0.2680384,0.125,0.020248952857706837,1.1675589081012467,-0.10475104714229316,
