Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0,0.0,0.0,1.6,,0.0,,0.0
0.0,0.0,0.0,1.5,,0.0,,
0.0007804878048780488,0.0,0.000256,1.4,0.11298398545375687,0.011574020347375343,-1.287016014546243,
0.0038048780487804877,0.0,0.001248,1.35,0.05539218444723981,0.03244748752466056,-1.2946078155527603,
0.018536585365853658,0.0,0.00608,1.3,0.017957954194905534,0.1288151328768713,-1.2820420458050945,
0.05065853658536585,0.0,0.016616,1.25,0.009347109657714237,0.28280143901589866,-1.2406528903422858,
0.08990243902439024,0.0,0.029488,1.2,0.0029384281827367076,0.2306861114334704,-1.1970615718172632,
0.12251219512195122,0.0,0.040184,1.16,-0.001451980330534175,0.28847497840186864,-1.161451980330534,
0.1615609756097561,0.0,0.052992,1.12,-0.0040432681011524085,0.2715871726432283,-1.1240432681011525,
0.195390243902439,0.0,0.06408799999999999,1.08,0.0017962771722526139,0.2780408236947909,-1.0782037228277475,
0.23365853658536587,0.0,0.07664,1.04,0.0126705200881021,0.31862081415290605,-1.027329479911898,
0.28268292682926827,0.0,0.09272,1.0,-0.0035765173351629542,0.44343868064419273,-1.003576517335163,
0.33165853658536587,0.0,0.108784,0.96,0.000595885411729169,0.3634881951697408,-0.9594041145882708,
0.4069512195121951,0.0,0.13348,0.88,-0.003837546574824935,0.26888063646804844,-0.8838375465748249,
0.4671463414634146,0.0,0.153224,0.8,-0.008533499060662697,0.1951452555027646,-0.8085334990606627,
0.5278292682926828,0.0,0.17312799999999998,0.72,-0.0023639926613284734,0.27190308563183796,-0.7223639926613284,
0.5922682926829269,0.0,0.19426400000000002,0.64,0.002047806196351587,0.23230693848063205,-0.6379521938036484,
0.6606829268292683,0.0,0.216704,0.56,-0.0066041554601939945,0.27175737882473494,-0.566604155460194,
0.7065853658536585,0.0,0.23176,0.5,0.007340238569952806,0.28251647260601076,-0.4926597614300472,
0.7420487804878049,0.0,0.243392,0.46,0.00302327583412354,0.3652005725117254,-0.4569767241658765,
0.7821219512195122,0.0,0.256536,0.42,0.015117990265495374,0.33817002565997506,-0.4048820097345046,
0.8180243902439025,0.0,0.268312,0.38,0.0034144813496000403,0.25495983391971144,-0.37658551865039996,
0.8630731707317074,0.0,0.283088,0.34,-0.003521105016483117,0.41004732247620795,-0.34352110501648314,
0.9064390243902439,0.00010714285714285714,0.29738400000000004,0.3,-0.0013683811839607651,0.2918275244024999,-0.30136838118396075,
0.9458536585365854,0.0,0.31024,0.26,-0.01959782967066992,0.32377857723099207,-0.27959782967066993,
0.9703658536585364,0.00035714285714285714,0.31851999999999997,0.22,-0.010457118488967493,0.20634275914552944,-0.2304571184889675,
0.9800731707317073,0.0006309523809523809,0.32188799999999995,0.2,-0.0033783208394750908,0.1744664938817749,-0.2033783208394751,
0.9890243902439023,0.0013333333333333333,0.325296,0.18,0.010372930632468996,0.1318530553300645,-0.169627069367531,
0.992829268292683,0.003607142857142857,0.32807200000000003,0.16,0.06746193645395886,0.15043776514126042,-0.09253806354604115,
0.996780487804878,0.009916666666666666,0.333608,0.14,0.1008514768812667,0.26994313566203076,-0.03914852311873332,
0.9980975609756096,0.013369047619047619,0.33636,0.13,0.09587138678468704,0.4309633411987067,-0.034128613215312964,
0.9987804878048782,0.01616666666666667,0.338464,0.125,0.09924683232965506,0.5649504210023931,-0.025753167670344936,
