Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0,0.0,0.0,1.6,,0.0,,0.0
0.0,0.0,0.0,1.5,,0.0,,
0.0,0.0,0.0,1.4,,0.0,,
0.0,0.0,0.0,1.35,,0.0,,
0.0,0.0,0.0,1.3,,0.0,,
0.0,0.0,0.0,1.25,,0.0,,
0.000625,0.0,0.0002,1.2,0.19999999999999996,0.00789782471342179,-1.0,
0.0,0.0,0.0,1.16,,0.0,,
0.008125,0.0,0.0026,1.12,0.1200000000000001,0.10976364550694366,-1.0,
0.04375,0.0,0.013999999999999999,1.08,0.08000000000000007,0.46742227895761623,-1.0,
0.154375,0.0,0.049400000000000006,1.04,0.040000000000000036,1.4088752208167294,-1.0,
0.50875,0.0,0.1628,1.0,0.0,2.30552009593438,-1.0,
0.82625,0.0,0.2644,0.96,-0.040000000000000036,1.3726096991734533,-1.0,
0.993125,0.0,0.3178,0.88,-0.12,0.08526427088566131,-1.0,
1.0,0.0,0.32,0.8,,0.0,,
1.0,0.0,0.32,0.72,,0.0,,
1.0,0.0,0.32,0.64,,0.0,,
1.0,0.0,0.32,0.56,,0.0,,
1.0,0.0,0.32,0.5,,0.0,,
1.0,0.0,0.32,0.46,,0.0,,
1.0,0.0,0.32,0.42,,0.0,,
1.0,0.0,0.32,0.38,,0.0,,
1.0,0.0,0.32,0.34,,0.0,,
1.0,0.0,0.32,0.3,,0.0,,
1.0,0.0,0.32,0.26,,0.0,,
1.0,0.0,0.32,0.22,,0.0,,
1.0,0.00029411764705882356,0.32020000000000004,0.2,0.1782813550000232,0.007897824713363298,-0.021718644999976812,
1.0,0.005294117647058823,0.3236,0.18,0.15828135499979806,0.10895774502602606,-0.021718645000201927,
1.0,0.003529411764705882,0.3224,0.16,0.13828135500109032,0.08961613348285995,-0.021718644998909683,
1.0,0.009411764705882354,0.3264,0.14,0.11828135499983203,0.23790182197982554,-0.021718645000167985,
1.0,0.012647058823529412,0.3286,0.13,0.1082813549996757,0.32252137248069634,-0.0217186450003243,
1.0,0.01647058823529412,0.3312,0.125,0.10328135499990915,0.5260918339716631,-0.021718645000090853,
1.0,0.017941176470588235,0.3322,0.12,0.09828135499984315,0.665512617177988,-0.021718645000156838,
1.0,0.02382352941176471,0.3362,0.115,0.09328135499985765,0.7235374518072115,-0.021718645000142357,
1.0,0.03529411764705882,0.344,0.11,0.08828135499998982,1.6601549907805462,-0.021718645000010188,
1.0,0.03441176470588235,0.34340000000000004,0.105,0.08328135500001489,0.7190244091136778,-0.0217186449999851,
1.0,0.051176470588235295,0.35479999999999995,0.1,0.07828135499993027,1.1966010341315487,-0.021718645000069734,
1.0,0.06529411764705884,0.3644,0.095,0.07328135500004676,1.29201965107734,-0.02171864499995324,
1.0,0.08147058823529411,0.3754,0.09,0.06828135499994983,1.9697819555659817,-0.02171864500005016,
1.0,0.08352941176470588,0.3768,0.085,0.06328135499997452,4.213892434850988,-0.02171864500002549,
1.0,0.12735294117647059,0.40659999999999996,0.08,0.05828135499995629,3.47520405400184,-0.021718645000043713,
1.0,0.16294117647058823,0.43079999999999996,0.075,0.05328135499999059,4.7038799272755725,-0.0217186450000094,
1.0,0.21205882352941177,0.4642,0.07,0.04828135499998662,5.352629814449373,-0.02171864500001339,
1.0,0.2620588235294118,0.4982,0.065,0.04328135500001663,6.474443283947695,-0.021718644999983373,
1.0,0.3211764705882353,0.5384,0.06,0.03828135500000077,8.27434141812696,-0.021718644999999225,
1.0,0.42676470588235293,0.6102000000000001,0.05,0.028281354999987577,6.7129898263121275,-0.021718645000012426,
1.0,0.5173529411764706,0.6718000000000001,0.04,0.018281354999975026,5.749132851082171,-0.021718645000024975,
1.0,0.6026470588235293,0.7298,0.03,0.00828135499999471,5.439667066392979,-0.02171864500000529,
1.0,0.6858823529411765,0.7864,0.02,-0.0017186449999798993,3.9289260247830113,-0.0217186449999799,
1.0,0.7420588235294118,0.8245999999999999,0.01,-0.011718645000038672,4.194067283019824,-0.021718645000038672,
1.0,0.7973529411764706,0.8622,-0.0,-0.02171864500008281,2.873679935012434,-0.02171864500008281,
1.0,0.8420588235294117,0.8926000000000001,-0.01,-0.0317186450000893,2.575819117248372,-0.021718645000089302,
1.0,0.8676470588235294,0.91,-0.02,-0.04171864500007935,2.0469872216419445,-0.021718645000079348,
1.0,0.9017647058823529,0.9331999999999999,-0.03,-0.051718644999969046,1.763954972728981,-0.021718644999969044,
1.0,0.9355882352941176,0.9562,-0.04,-0.061718644999774946,1.4972019135299168,-0.021718644999774942,
1.0,0.9647058823529411,0.976,-0.06,-0.08171864500084898,0.5480123270547244,-0.02171864500084898,
1.0,0.9797058823529412,0.9862000000000001,-0.08,-0.10171864499976335,0.5140033267567949,-0.02171864499976335,
1.0,0.9902941176470589,0.9934000000000001,-0.1,-0.12171864499894945,0.2193661109172353,-0.02171864499894945,
1.0,0.9952941176470589,0.9968,-0.12,-0.1417186449975864,0.1682720204242809,-0.021718644997586425,
