Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.05558966565349545,0.0,0.018289000000000003,1.4,0.011869616215606449,0.08677448809201238,-1.3881303837843935,0.0
0.07014772036474165,0.0,0.0230786,1.35,0.009156174133506445,0.11571207915876563,-1.3408438258664936,5.035256272805554e-05
0.08913434650455927,0.0,0.0293252,1.3,-0.0024990731467222638,0.12315146415999671,-1.3024990731467223,7.114468624007856e-05
0.10742857142857143,0.0,0.035344,1.25,0.008210010538483692,0.11560094387063538,-1.2417899894615163,8.833118122684541e-05
0.12911793313069908,0.0,0.0424798,1.2,0.00538754818218834,0.15837523854654958,-1.1946124518178116,0.00013684591098633115
0.14933009118541035,0.0,0.0491296,1.16,0.0011267091728570655,0.17708872641932938,-1.1588732908271429,0.00015850516526612164
0.170609726443769,0.0,0.0561306,1.12,-0.0003013317646780589,0.17985859831340736,-1.1203013317646782,0.00016139439888345226
0.19149118541033433,0.0,0.0630006,1.08,-0.003027880964056262,0.16466963076864607,-1.0830278809640563,0.00014995855316024987
0.21046139817629178,0.0,0.06924179999999999,1.04,-0.0010683458405629231,0.13581569861904802,-1.041068345840563,0.00013717586779375527
0.2283130699088146,0.0,0.075115,1.0,0.007140837327225147,0.15475606198346137,-0.9928591626727749,0.00015500834629348758
0.2474753799392097,0.0,0.0814194,0.96,0.006622156446082661,0.1658987901822385,-0.9533778435539173,0.00019839205526570847
0.29509726443768997,0.0,0.097087,0.88,0.0031492651668902916,0.21452389817285036,-0.8768507348331097,0.000274939417897416
0.3464036474164134,0.0,0.11396680000000001,0.8,-0.005953337898744082,0.17664120665861333,-0.8059533378987441,0.00025127332444784315
0.3873744680851064,0.0,0.1274462,0.72,0.011859207826925067,0.18121097668690722,-0.7081407921730749,0.0002910771160028045
0.44763282674772037,0.0,0.1472712,0.64,0.006220723431408115,0.3443471948216614,-0.6337792765685919,0.00047029443460103204
0.5232820668693009,0.0,0.1721598,0.56,-0.0013851812614515957,0.28692732550651956,-0.5613851812614516,0.000530469372026622
0.5763817629179332,0.0,0.1896296,0.5,0.005776030066056259,0.30799920054667584,-0.49422396993394374,0.0005688229972499632
0.6191854103343465,0.0,0.20371199999999998,0.46,0.008933704681330923,0.35380062666843426,-0.4510662953186691,0.0006723971815532656
0.6674717325227963,0.0,0.2195982,0.42,0.0017535906955527536,0.4148113532039649,-0.41824640930444723,0.0007572874374613904
0.7160133738601824,0.0,0.23556839999999998,0.38,-0.003997756806948027,0.39470271298354215,-0.38399775680694803,0.000739367546645288
0.7598200607902735,4.470938897168405e-06,0.2499838,0.34,-0.007754281185581524,0.35190198799518463,-0.34775428118558155,0.0006546623824065325
0.79731367781155,2.0864381520119227e-05,0.2623302,0.3,-0.0018430179019105486,0.28129021282241357,-0.30184301790191054,0.0005954163356796264
0.8314869300911854,7.242921013412816e-05,0.2736078,0.26,0.004168356030787523,0.29038122155146956,-0.2558316439692125,0.0006085284523207379
0.8669434650455927,0.00033859910581222056,0.28545159999999997,0.22,0.011555167896085766,0.31417455804476935,-0.20844483210391423,0.0007016415886632885
0.8857550151975685,0.0007740685543964232,0.2919328,0.2,0.01001890356437038,0.35625169883871927,-0.18998109643562963,0.0007715545246380429
0.9072285714285715,0.0016029806259314455,0.29955380000000004,0.18,0.014133761125339594,0.38657053724484775,-0.1658662388746604,0.0008635882534381833
0.9275246200607903,0.0037561847988077496,0.307676,0.16,0.03212522147537092,0.4338574910067642,-0.12787477852462908,0.001051450607677928
0.9470814589665655,0.008230104321907602,0.31711219999999996,0.14,0.0441423642606716,0.5315562889261789,-0.09585763573932841,0.0014112887039391482
0.9559781155015197,0.012370491803278687,0.32281740000000003,0.13,0.053542166107094905,0.6533619444115947,-0.0764578338929051,0.0016899435952662427
0.960473556231003,0.015378241430700447,0.3263146,0.125,0.05414414376139556,0.6530867132804494,-0.07085585623860444,0.001878243876702284
0.9649629179331307,0.01867779433681073,0.3300056,0.12,0.05627145272282999,0.7262440137709433,-0.06372854727717,0.0020820158600139225
0.9685829787234042,0.02253204172876304,0.3337828,0.115,0.05835987997339639,0.8132351488656379,-0.05664012002660362,0.0022985085949440145
0.971984802431611,0.027584798807749628,0.3382924,0.11,0.06168604301865068,0.9405060990547016,-0.04831395698134932,0.0025691881421064824
0.9757878419452888,0.033847093889716844,0.34374560000000004,0.105,0.06163045355406508,1.014777017006942,-0.043369546445934916,0.002905422901661652
0.9785367781155015,0.040557973174366616,0.34915300000000005,0.1,0.059397082252719134,1.2192142389719356,-0.04060291774728087,0.003232645050222455
0.9818085106382979,0.04861967213114755,0.3556388,0.095,0.0589292145528225,1.38371237089475,-0.036070785447177504,0.0036163653981331418
0.9845568389057751,0.06060536512667661,0.3645854,0.09,0.06006190436505241,1.6840220091414586,-0.029938095634947585,0.004148648370388473
0.9868170212765958,0.07290670640834575,0.3735832,0.085,0.055956298919227425,1.900324526454274,-0.02904370108077258,0.00467060266514412
0.9888024316109422,0.08779731743666169,0.384228,0.08,0.053061768438676146,2.3437204234521545,-0.026938231561323852,0.005250840426849826
0.990555623100304,0.1037725782414307,0.3955242,0.075,0.04992556646426231,2.4872592920329155,-0.02507443353573769,0.005832523193115112
0.9921829787234042,0.12407988077496274,0.4096858,0.07,0.044637918025421844,3.058613075897087,-0.025362081974578163,0.006502108314089667
0.9934747720364742,0.1485451564828614,0.426527,0.065,0.04146444516676662,3.493565327905167,-0.02353555483323339,0.007227141873585809
0.9946577507598784,0.17585901639344262,0.4452438,0.06,0.03656256779104439,4.15401248017511,-0.023437432208955607,0.007957349871650189
0.9960565349544074,0.24267362146050672,0.49053660000000004,0.05,0.0274367159774042,5.032246513673034,-0.022563284022595803,0.009406703251583983
0.9971732522796353,0.3239070044709389,0.5454116,0.04,0.01753000306689431,5.502083471947314,-0.022469996933105692,0.010640477605361923
0.99808632218845,0.4191165424739195,0.6095976000000001,0.03,0.008246754947286793,6.8194200353284895,-0.021753245052713206,0.011467731100311037
0.9987635258358664,0.5168876304023845,0.6754248,0.02,-0.001871021810327854,6.881630343121266,-0.021871021810327854,0.01167757943048765
0.9990583586626139,0.6164005961251863,0.7422949999999999,0.01,-0.012012929270796528,6.294790941356918,-0.022012929270796528,0.011213368137695148
0.9995142857142857,0.7056593144560358,0.8023376,-0.0,-0.02183338604748386,5.431077224610028,-0.02183338604748386,0.010197257751630457
0.9996504559270516,0.7824619970193741,0.853917,-0.01,-0.03175743128224763,4.672260865147235,-0.021757431282247632,0.008815166649941879
0.9997422492401217,0.8429207153502235,0.894515,-0.02,-0.04169331405022324,3.507576068949701,-0.02169331405022324,0.007324189970438056
0.9998243161094226,0.8897743666169895,0.9259808,-0.03,-0.05187477554982435,2.67636452490407,-0.021874775549824355,0.0058520925735694625
0.9999148936170212,0.9231108792846499,0.9483794,-0.04,-0.06159338818702766,2.009426442235287,-0.021593388187027662,0.00458132856743134
0.999966565349544,0.9639153502235469,0.9757762,-0.06,-0.08176152106550943,0.8103858635356563,-0.02176152106550943,0.0026175956785263856
