Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0,0.0,0.0,1.6,,0.0,,0.0
0.000625,0.0,0.0002,1.5,0.19999999999999973,0.00789782471342179,-1.3000000000000003,
0.015,0.0,0.0048,1.4,0.09999999999999964,0.2778744858354932,-1.3000000000000003,
0.128125,0.0,0.040999999999999995,1.35,0.05000000000000138,1.3901783296584282,-1.2999999999999987,
0.50125,0.0,0.1604,1.3,7.993605777301127e-15,2.320348664784104,-1.299999999999992,
0.89125,0.0,0.2852,1.25,-0.05000000000011173,1.1482470052738165,-1.3000000000001117,
0.976875,0.0,0.3126,1.2,-0.10000000000027254,0.31929777055688113,-1.3000000000002725,
0.99875,0.0,0.3196,1.16,-0.1400000000011843,0.015473289234422954,-1.3000000000011842,
0.99875,0.0,0.3196,1.12,-0.1800000000011841,0.015473289234422954,-1.3000000000011842,
1.0,0.0,0.32,1.08,,0.0,,
1.0,0.0,0.32,1.04,,0.0,,
1.0,0.0,0.32,1.0,,0.0,,
1.0,0.0,0.32,0.96,,0.0,,
1.0,0.0,0.32,0.88,,0.0,,
1.0,0.0,0.32,0.8,,0.0,,
1.0,0.0,0.32,0.72,,0.0,,
1.0,0.0,0.32,0.64,,0.0,,
1.0,0.0,0.32,0.56,,0.0,,
1.0,0.0,0.32,0.5,,0.0,,
1.0,0.0,0.32,0.46,,0.0,,
1.0,0.0,0.32,0.42,,0.0,,
1.0,0.0,0.32,0.38,,0.0,,
1.0,0.0,0.32,0.34,,0.0,,
1.0,0.0,0.32,0.3,,0.0,,
1.0,0.0,0.32,0.26,,0.0,,
1.0,0.0005882352941176471,0.3204,0.22,0.19828135499602484,0.015473289234422954,-0.021718645003975162,
1.0,0.0,0.32,0.2,,0.0,,
1.0,0.002058823529411765,0.3214,0.18,0.1582813549990671,0.04851520895379227,-0.021718645000932898,
1.0,0.003823529411764706,0.3226,0.16,0.1382813550004104,0.10976364550696842,-0.02171864499958961,
1.0,0.008823529411764706,0.326,0.14,0.1182813550002237,0.2578881539076906,-0.021718644999776316,
1.0,0.015,0.33020000000000005,0.13,0.10828135500006518,0.45920209405170725,-0.021718644999934825,
1.0,0.013823529411764705,0.32939999999999997,0.125,0.10328135499980853,0.36120459556702855,-0.02171864500019146,
1.0,0.021470588235294116,0.3346,0.12,0.09828135499981905,0.42245303211992985,-0.021718645000180944,
1.0,0.024705882352941175,0.3368,0.115,0.09328135499992338,0.45839619357085654,-0.02171864500007663,
1.0,0.03058823529411765,0.3408,0.11,0.08828135499990777,0.9645016956146546,-0.021718645000092227,
1.0,0.041176470588235294,0.348,0.105,0.08328135499984905,1.3055587791575747,-0.021718645000150943,
1.0,0.051470588235294115,0.355,0.1,0.07828135500012252,1.1322901757507549,-0.021718644999877485,
1.0,0.06,0.3608,0.095,0.07328135499995203,1.786520186195275,-0.021718645000047974,
1.0,0.0811764705882353,0.37520000000000003,0.09,0.06828135499997481,1.9380294766159185,-0.02171864500002518,
1.0,0.09794117647058824,0.38659999999999994,0.085,0.06328135499998044,2.7660116307558975,-0.021718645000019566,
1.0,0.11735294117647059,0.3998,0.08,0.058281354999917746,3.98904620066285,-0.021718645000082255,
1.0,0.16205882352941176,0.4302,0.075,0.05328135500003342,4.214698335331838,-0.021718644999966574,
1.0,0.22029411764705883,0.4698,0.07,0.048281354999982005,6.680753807073883,-0.021718645000018,
1.0,0.26294117647058823,0.4988,0.065,0.04328135500001478,6.554227431562819,-0.021718644999985222,
1.0,0.29470588235294115,0.5204,0.06,0.03828135499998496,8.122832127706317,-0.021718645000015035,
1.0,0.43323529411764705,0.6146,0.05,0.028281354999967964,7.5949673126764345,-0.02171864500003204,
1.0,0.523235294117647,0.6758,0.04,0.018281354999911743,3.3217606024270085,-0.021718645000088257,
1.0,0.6055882352941176,0.7318000000000001,0.03,0.008281355000007547,6.861275514809001,-0.021718644999992452,
1.0,0.6852941176470588,0.7859999999999999,0.02,-0.0017186450000845656,4.738694828053528,-0.021718645000084566,
1.0,0.7332352941176471,0.8186,0.01,-0.01171864500006632,5.49640246025308,-0.02171864500006632,
1.0,0.7908823529411765,0.8578,-0.0,-0.021718645000000612,3.4216922620656924,-0.021718645000000612,
1.0,0.8420588235294117,0.8926000000000001,-0.01,-0.031718644999831444,1.8182726651446053,-0.021718644999831446,
1.0,0.8826470588235295,0.9201999999999999,-0.02,-0.04171864499994081,2.506189315693927,-0.021718644999940813,
1.0,0.9102941176470588,0.9390000000000001,-0.03,-0.05171864499970625,1.712538522042257,-0.02171864499970625,
1.0,0.9308823529411764,0.953,-0.04,-0.06171864500014042,1.4062963392775674,-0.021718645000140414,
1.0,0.9682352941176471,0.9784,-0.06,-0.08171864499976891,0.7955849548047587,-0.02171864499976891,
1.0,0.9873529411764705,0.9914000000000001,-0.08,-0.10171864500045952,0.274167343622781,-0.021718645000459523,
1.0,0.9917647058823529,0.9944,-0.1,-0.12171864500127014,0.21211300658930385,-0.021718645001270128,
1.0,0.9941176470588234,0.996,-0.12,-0.14171864499951642,0.14506208657402078,-0.021718644999516434,
