Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.0009066666666666667,0.0,0.000272,1.2,0.17624588706622224,0.009469653011488919,-1.0237541129337777,0.0
0.003946666666666667,0.0,0.001184,1.16,0.13694058812424914,0.045576573440099036,-1.0230594118757508,0.00014281303268685495
0.01636,0.0,0.004908,1.12,0.10024351066818271,0.16697323120962432,-1.0197564893318174,0.000584449824638363
0.04541333333333333,0.0,0.013624,1.08,0.07399822031459147,0.25697394040204724,-1.0060017796854086,0.001343795288261293
0.07861333333333333,0.0,0.023584,1.04,0.06076040267542426,0.21700772375020927,-0.9792395973245758,0.0020148932307515713
0.10816,0.0,0.032448,1.0,0.050795588777963196,0.2148388843758451,-0.9492044112220368,0.0025093093848729845
0.13573333333333332,0.0,0.04072,0.96,0.04560769249870311,0.19457661212332675,-0.9143923075012969,0.0029080333562332764
0.18589333333333333,0.0,0.055768,0.88,0.03684865132395454,0.17299008420047815,-0.8431513486760455,0.0035284348871549524
0.23313333333333333,0.0,0.06994,0.8,0.031105454078706907,0.14321657447167147,-0.7688945459212931,0.004009957678038211
0.2778,0.0,0.08334,0.72,0.023224890076940286,0.1628805462071046,-0.6967751099230597,0.004373970983881047
0.32278666666666667,0.0,0.096836,0.64,0.016315377771997763,0.16660187226797846,-0.6236846222280023,0.004640788711325681
0.36868,0.0,0.110604,0.56,0.012074170005749618,0.1591489046200638,-0.5479258299942504,0.004836222358227694
0.40598666666666666,0.0,0.121796,0.5,0.00983941408148492,0.20208728224564707,-0.4901605859185151,0.004958850774779859
0.4316533333333334,0.0,0.129496,0.46,0.008298997212450254,0.1866865240544741,-0.45170100278754977,0.0050286836582615095
0.4572933333333333,0.0,0.13718799999999998,0.42,0.00357891258598525,0.21768693667564215,-0.41642108741401473,0.005074366099346292
0.48663999999999996,0.0,0.14599199999999998,0.38,0.0024390797679338383,0.24112413446297526,-0.37756092023206617,0.005100857301688244
0.5168533333333334,2.857142857142857e-05,0.155076,0.34,-0.0009403193430267409,0.26018948332108577,-0.34094031934302677,0.005107664671538172
0.55048,4e-05,0.16517199999999999,0.3,-0.0052365698655038595,0.2548744084690551,-0.30523656986550385,0.005076483734813509
0.5875066666666667,0.00030857142857142856,0.17646799999999999,0.26,-0.000909812454275627,0.3316477118874705,-0.26090981245427564,0.005041768967471395
0.6308533333333334,0.0024285714285714284,0.190956,0.22,0.016462859344710923,0.4188680644204752,-0.20353714065528908,0.005154435239145708
0.6551733333333333,0.004571428571428572,0.199752,0.2,0.02193783067536767,0.5551545394761691,-0.17806216932463234,0.005323321473854014
0.68248,0.011325714285714286,0.212672,0.18,0.0260810728623172,0.6539966216650718,-0.1539189271376828,0.005633523590707458
0.71516,0.026491428571428572,0.23309200000000002,0.16,0.04554256015823495,1.2549388805073005,-0.11445743984176505,0.006364800883847297
0.7549333333333333,0.054177142857142854,0.264404,0.14,0.04034005660418853,2.2469469266180946,-0.09965994339581148,0.007709379131879797
0.7818533333333334,0.08036,0.290808,0.13,0.03507156001422866,2.7130465617062294,-0.09492843998577134,0.008704963294476143
0.8085600000000001,0.11902857142857141,0.32588799999999996,0.12,0.026426945406420932,3.9177130478516378,-0.09357305459357906,0.009783647079554335
0.8420799999999999,0.16626857142857143,0.369012,0.11,0.022512900378817938,3.7795091743713507,-0.08748709962118206,0.010838888034375656
0.88444,0.2304,0.42661200000000005,0.1,0.014137800529936476,6.044927662372337,-0.08586219947006353,0.011894428220547783
0.9295333333333334,0.3107714285714286,0.49639999999999995,0.09,0.006801706878157926,7.467151496396229,-0.08319829312184207,0.012625091392045828
0.9553200000000001,0.39954285714285714,0.566276,0.08,0.004337293793190422,7.534763000787329,-0.07566270620680958,0.013014265797501397
0.96916,0.5000171428571428,0.64076,0.07,-0.0030211778943817075,6.745354789627146,-0.07302117789438171,0.013063280585804832
0.9820533333333333,0.5958171428571428,0.711688,0.06,-0.012471502874426513,6.885908991269782,-0.07247150287442651,0.012513848155019817
0.9929733333333334,0.7671714285714285,0.834912,0.04,-0.030342228298420752,4.637801245597627,-0.07034222829842075,0.009876008549998351
0.9968400000000001,0.8809771428571428,0.915736,0.02,-0.05047961071540499,3.080359238198403,-0.070479610715405,0.006609836391771625
0.99888,0.94228,0.95926,-0.0,-0.07145740963180099,1.6225274973249246,-0.07145740963180099,0.003956242954975727
