Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy,Entropy
0.003178576,0,0.001046387,1.2,0.142895469,0.041240423,-1.057104531,0
0.014077827,0,0.004634421,1.16,0.105347991,0.159221083,-1.054652009,0.000445353
0.040825424,0,0.01343973,1.12,0.078260418,0.258849972,-1.041739582,0.001253717
0.072542809,0,0.023881093,1.08,0.063212468,0.25171166,-1.016787532,0.001992302
0.102211655,0,0.033648077,1.04,0.05388238,0.23702416,-0.98611762,0.002564134
0.129541652,0,0.042645112,1,0.047213307,0.214399658,-0.952786693,0.003018915
0.155155368,0,0.051077147,0.96,0.042018334,0.203858263,-0.917981666,0.003395117
0.203035072,0,0.066839146,0.88,0.033928621,0.190250494,-0.846071379,0.003993655
0.248360408,0,0.081760246,0.8,0.027430448,0.183956998,-0.772569552,0.004451427
0.2928172,0,0.096395422,0.72,0.021878251,0.183594027,-0.698121749,0.004812248
0.337556695,0,0.111123664,0.64,0.016766632,0.186541078,-0.623233368,0.005096833
0.383665745,0,0.126302763,0.56,0.011794919,0.194517823,-0.548205081,0.005313603
0.419922411,0,0.138238458,0.5,0.008060509,0.20523398,-0.491939491,0.005432097
0.445261196,0,0.146579986,0.46,0.005498454,0.213006151,-0.454501546,0.005488648
0.471777332,9.54E-08,0.155309162,0.42,0.002802948,0.222870921,-0.417197052,0.00552488
0.499864005,2.03E-07,0.164555366,0.38,-6.93E-06,0.238740765,-0.380006935,0.005537807
0.529942046,2.11E-06,0.174458339,0.34,-0.002896079,0.256994712,-0.342896079,0.005523432
0.562661094,1.24E-05,0.185236339,0.3,-0.005863674,0.280571307,-0.305863674,0.005476226
0.598891368,7.01E-05,0.197202034,0.26,-0.008346149,0.319935791,-0.268346149,0.005391211
0.640265784,0.000341543,0.211004603,0.22,-0.009036168,0.378391473,-0.229036168,0.005271251
0.663643713,0.00077164,0.218989126,0.2,-0.006951386,0.420011251,-0.206951386,0.005207424
0.689510999,0.001688809,0.228119874,0.18,-0.002918451,0.497915345,-0.182918451,0.005162365
0.71879983,0.003835222,0.239201571,0.16,0.004729589,0.608590531,-0.155270411,0.0051724
0.75278399,0.008713221,0.253661318,0.14,0.012912331,0.84317268,-0.127087669,0.005299949
0.772177837,0.013222624,0.26307068,0.13,0.017327943,1.039165316,-0.112672057,0.00544222
0.782825356,0.016212324,0.268581334,0.125,0.021722249,1.177165502,-0.103277751,0.005549816
0.793962595,0.020098528,0.274854579,0.12,0.022004641,1.303166542,-0.097995359,0.00568697
0.805927529,0.024830338,0.281967533,0.115,0.024092237,1.476653506,-0.090907763,0.005850913
0.818816559,0.030948699,0.290314798,0.11,0.02522876,1.736358983,-0.08477124,0.006056761
0.832278615,0.038519003,0.299824667,0.105,0.027001784,2.06834278,-0.077998216,0.006305113
0.846891431,0.048123826,0.311078122,0.1,0.027408142,2.48138977,-0.072591858,0.006611263
0.862383149,0.060600363,0.324547256,0.095,0.027593771,2.958530261,-0.067406229,0.006981677
0.87903408,0.076468074,0.340672803,0.09,0.027119189,3.659046236,-0.062880811,0.007422815
0.895665968,0.097547456,0.36028807,0.085,0.027031668,4.263331868,-0.057968332,0.007953907
0.912960656,0.125004914,0.384399944,0.08,0.026606412,5.352047825,-0.053393588,0.008600565
0.928617881,0.160775122,0.413548958,0.075,0.02574895,6.474338556,-0.04925105,0
0.942617813,0.206372114,0.448744198,0.07,0.022640312,7.638774343,-0.047359688,0.009515132
0.954217152,0.260419184,0.488817475,0.065,0.01740414,8.311737759,-0.04759586,0.010317488
0.963345667,0.319453903,0.531423072,0.06,0.01264704,8.507975998,-0.04735296,0.010957663
0.97665147,0.433655604,0.612409843,0.05,0.002245852,7.658362102,-0.047754148,0.011560726
0.984942498,0.532467664,0.681422379,0.04,-0.006860381,6.288552597,-0.046860381,0.011401496
0.990108233,0.615147952,0.738584877,0.03,-0.014328584,5.363389893,-0.044328584,0.010795889
0.993497405,0.684685331,0.786346266,0.02,-0.021537067,4.435055183,-0.041537067,0.009939392
0.995760603,0.744004902,0.826882878,0.01,-0.028015043,3.735328866,-0.038015043,0.008935055
0.997135023,0.794671771,0.861322674,0,-0.034933694,3.073040853,-0.034933694,0.007851084
0.998081103,0.837582574,0.89041869,-0.01,-0.041660559,2.65848977,-0.031660559,0.00673679
0.998771179,0.873789493,0.914933464,-0.02,-0.048843923,2.237971742,-0.028843923,0.005627442
0.999155169,0.903941787,0.935286032,-0.03,-0.056511905,1.849347433,-0.026511905,0.004555311
0.999421269,0.928265512,0.951689987,-0.04,-0.064217106,1.473013726,-0.024217106,-0.010350647
0.999626445,0.94737014,0.964572915,-0.05,-0.072352364,1.168720201,-0.022352364,-0.011230354
0.999755704,0.962351459,0.974664936,-0.06,-0.080912028,0.86801941,-0.020912028,-0.012003728
0.999884768,0.981506886,0.987556885,-0.08,-0.099169887,0.453030693,-0.019169887,-0.013164531
0.999951329,0.991355852,0.994185483,-0.1,-0.117947446,0.228284041,-0.017947446,-0.013884123
0.999977473,0.99602649,0.997327154,-0.12,-0.137345799,0.103801908,-0.017345799,-0.014285146
0.999988544,0.998201505,0.998789798,-0.14,-0.157175228,0.050658052,-0.017175228,-0.014500536
