Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
2.24E-07,0,7.36E-08,1.4,0.342636783,2.96E-06,-1.057363217
7.50E-06,0,2.47E-06,1.35,0.292636783,9.83E-05,-1.057363217
5.24E-05,0,1.73E-05,1.3,0.242638488,0.000692976,-1.057361512
0.000444812,0,0.000146432,1.25,0.192656721,0.005858234,-1.057343279
0.003150936,0,0.001037288,1.2,0.142894334,0.040687918,-1.057105666
0.014158469,0,0.004660968,1.16,0.105365801,0.160808935,-1.054634199
0.040839893,0,0.013444493,1.12,0.078271898,0.255681903,-1.041728102
0.072546508,0,0.02388231,1.08,0.063214584,0.253423344,-1.016785416
0.10215705,0,0.033630101,1.04,0.053794227,0.233943082,-0.986205773
0.12958818,0,0.042660429,1,0.047311047,0.21680803,-0.952688953
0.155166605,0,0.051080846,0.96,0.041988005,0.206533697,-0.918011995
0.203038712,0,0.066840344,0.88,0.033918591,0.190393965,-0.846081409
0.248382007,0,0.081767357,0.8,0.027466348,0.182572825,-0.772533652
0.292826629,0,0.096398526,0.72,0.0218868,0.183039226,-0.6981132
0.337531883,0,0.111115496,0.64,0.016712704,0.186360141,-0.623287296
0.38365913,0,0.126300586,0.56,0.01176255,0.194420392,-0.54823745
0.419918075,0,0.13823703,0.5,0.008033614,0.204116723,-0.491966386
0.445224044,0,0.146567755,0.46,0.005409822,0.212212284,-0.454590178
0.471809395,1.91E-08,0.155319666,0.42,0.002853312,0.223593894,-0.417146688
0.499876773,6.30E-07,0.164559856,0.38,7.35E-05,0.238644536,-0.379926524
0.529956734,3.27E-06,0.174463949,0.34,-0.002870591,0.259043007,-0.342870591
0.562625016,1.23E-05,0.185224427,0.3,-0.005942621,0.284369679,-0.305942621
0.598942338,6.64E-05,0.197216363,0.26,-0.008524482,0.319649805,-0.268524482
0.640246061,0.000351024,0.21100447,0.22,-0.008834241,0.376884682,-0.228834241
0.663643772,0.000775187,0.218991525,0.2,-0.007323937,0.427535784,-0.207323937
0.689477964,0.00171065,0.22812365,0.18,-0.003362306,0.492290445,-0.183362306
0.718794163,0.003797233,0.239174222,0.16,0.003599809,0.619001488,-0.156400191
0.752731689,0.008512301,0.253509323,0.14,0.012198751,0.826341493,-0.127801249
0.772189108,0.012601727,0.262657893,0.13,0.016659557,1.022785277,-0.113340443
0.782781264,0.015393875,0.268017803,0.125,0.01766533,1.130182102,-0.10733467
0.793928948,0.018680949,0.27389259,0.12,0.017282931,1.253124601,-0.102717069
0.806051626,0.022758934,0.280618888,0.115,0.01942187,1.39470866,-0.09557813
0.818616005,0.027758333,0.288108678,0.11,0.019737115,1.587411876,-0.090262885
0.832253618,0.03368619,0.296574587,0.105,0.021569309,1.808169177,-0.083430691
0.846755052,0.04080031,0.306120611,0.1,0.020655317,2.024100836,-0.079344683
0.862362372,0.049556649,0.317132293,0.095,0.018576716,2.316919086,-0.076423284
0.878852637,0.059849691,0.329465461,0.09,0.020220349,2.68612175,-0.069779651
0.89589706,0.072516553,0.343573416,0.085,0.017687898,2.902521536,-0.067312102
0.91266593,0.087146507,0.358907501,0.08,0.019271994,3.244519759,-0.060728006
0.928720044,0.104431995,0.375787621,0.075,0.020770433,3.545023797,-0.054229567
0.942470513,0.125254171,0.39428179,0.07,0.022114978,3.769331927,-0.047885022
0.95384314,0.148688122,0.413745154,0.065,0.023985056,4.061642271,-0.041014944
0.963305084,0.176210237,0.435321861,0.06,0.022916338,4.497560286,-0.037083662
0.976630207,0.242437226,0.484133555,0.05,0.02075739,5.387644927,-0.02924261
0.98489425,0.323978216,0.541551774,0.04,0.013718845,6.0385011,-0.026281155
0.99011982,0.417414371,0.605949005,0.03,0.005835269,6.766823295,-0.024164731
0.993479388,0.517488551,0.674184734,0.02,-0.003271568,6.79506884,-0.023271568
0.995688413,0.615809736,0.740865797,0.01,-0.012850851,6.274826776,-0.022850851
0.997177468,0.705798791,0.801720651,0,-0.022331539,5.721664621,-0.022331539
0.998083183,0.782338137,0.853361406,-0.01,-0.03226354,4.479871728,-0.02226354
0.998731806,0.842835067,0.894156274,-0.02,-0.042208331,3.61870927,-0.022208331
0.999140739,0.88927625,0.92544364,-0.03,-0.052333176,2.620154449,-0.022333176
0.999428083,0.923219055,0.948307067,-0.04,-0.062134275,1.958192457,-0.022134275
0.999748433,0.964259304,0.975942325,-0.06,-0.082298984,0.907120673,-0.022298984
0.999894838,0.98368141,0.98901887,-0.08,-0.102169337,0.426068702,-0.022169337
0.999947426,0.992666714,0.995063525,-0.1,-0.121921375,0.191309709,-0.021921375
0.999977798,0.996740122,0.997805965,-0.12,-0.142259701,0.088275168,-0.022259701
