Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.021995820170109356,0.0,0.007241024,1.6,0.01282465987534942,0.0390622363544926,-1.5871753401246507
0.03616522964763062,0.0,0.0119055936,1.5,0.014086161442914413,0.05683379262388034,-1.4859138385570856
0.05998216767922236,0.0,0.0197461296,1.4,0.007905362843673602,0.09387968147666222,-1.3920946371563263
0.07559832320777643,0.0,0.024886968,1.35,0.004719687716164822,0.10910095494695471,-1.3452803122838353
0.09371460024301337,0.0,0.0308508464,1.3,0.004972281716885796,0.1253843024300646,-1.2950277182831142
0.11460739732685297,0.0,0.0377287552,1.25,0.008094828587161818,0.15434915849338898,-1.2419051714128382
0.14055738031591739,0.0,0.0462714896,1.2,0.0025557465791270495,0.17339328368414303,-1.197444253420873
0.16268071931956257,0.0,0.053554492800000006,1.16,0.0007452817059527828,0.18459830187663867,-1.1592547182940471
0.185191212636695,0.0,0.060964947199999994,1.12,0.002330243460000103,0.18717188995208137,-1.11766975654
0.20880320777642772,0.0,0.068738016,1.08,0.0025668080762701884,0.19751806501345567,-1.0774331919237299
0.23350394167679223,0.0,0.0768694976,1.04,0.0034892030656921147,0.21131616515356316,-1.036510796934308
0.25995488213851764,0.0,0.0855771472,1.0,0.005163587305206274,0.226842221918319,-0.9948364126947937
0.2893702454434994,0.0,0.0952606848,0.96,0.004477914663581939,0.25360654871700383,-0.955522085336418
0.35494851518833537,0.0,0.11684905120000001,0.88,8.244609590790652e-05,0.27165681448812046,-0.8799175539040921
0.42399469258809236,0.0,0.1395790528,0.8,0.0026216525710492933,0.30507348498992515,-0.7973783474289508
0.49852934629404616,0.0,0.16411586079999999,0.72,-0.0018560243221295014,0.30800741811680976,-0.7218560243221295
0.5672996257594167,0.0,0.1867550368,0.64,-0.0019301745856895591,0.25631298729746366,-0.6419301745856896
0.6309350473876063,0.0,0.2077038176,0.56,-0.0020765761497137936,0.2549905520117901,-0.5620765761497138
0.676876495747266,0.0,0.2228277424,0.5,-0.001320640721470756,0.24974519829355238,-0.5013206407214708
0.706076,0.0,0.2324402192,0.46,-0.0018378683279204333,0.24372171610661345,-0.46183786832792045
0.7343930449574727,4.054859868813357e-08,0.2417622176,0.42,-0.004253513220138283,0.2315391430421077,-0.42425351322013827
0.7599233244228432,1.1234347048300538e-06,0.250167512,0.38,-0.005745014842016283,0.20240755714270398,-0.3857450148420163
0.7830765880923451,3.534883720930233e-06,0.257791184,0.34,0.0011328519527160075,0.18715440532062447,-0.338867148047284
0.8068217059538275,1.2930232558139534e-05,0.2656143792,0.3,0.002907940209894655,0.2076415400214397,-0.29709205979010533
0.8321706537059538,6.41025641025641e-05,0.2739935792,0.26,0.0006944280216339971,0.21036118310036953,-0.259305571978366
0.8568607630619685,0.00033058079904591534,0.2823003168,0.22,0.0022769632123889882,0.20260710006964894,-0.217723036787611
0.8679547168894289,0.0007550578413834228,0.2862371856,0.2,0.01016326223217992,0.19311656849544978,-0.1898367377678201
0.8780207825030376,0.001693691115086464,0.2901805696,0.18,0.028587262042435613,0.19823850696523748,-0.15141273795756438
0.8869038250303766,0.003857736434108527,0.2945565088,0.16,0.05547188494549957,0.243796572088859,-0.10452811505450044
0.8953589064398542,0.008807744782349433,0.3006603872,0.14,0.07464695803606458,0.3690713661280829,-0.06535304196393543
0.8994892296476306,0.013161977340488969,0.30494090879999997,0.13,0.07881795685058501,0.4963187896686789,-0.05118204314941499
0.9015741239368165,0.016283193798449613,0.307720968,0.125,0.07845254307663221,0.5991074537293879,-0.04654745692336779
0.9035153244228433,0.020092732259988075,0.3109154496,0.12,0.07798148575721155,0.7329793878598935,-0.04201851424278845
0.9054429453219927,0.024834528324388788,0.3147308192,0.115,0.07589819570299085,0.8318162935577548,-0.03910180429700916
0.9074270328068044,0.03086837686344663,0.3194314864,0.11,0.07371416751620638,1.0376568859798867,-0.03628583248379362
0.9093912758201702,0.03869662492546213,0.325329304,0.105,0.07162196544009808,1.2789174168755884,-0.03337803455990191
0.9113905905224788,0.04825532021466905,0.33239945120000003,0.1,0.06730513620212966,1.6080306408987766,-0.032694863797870344
0.913283567436209,0.060430401908169354,0.341189664,0.095,0.06324201634452065,1.9913574037894128,-0.03175798365547936
0.9151147703523693,0.07679549194991056,0.35277019839999996,0.09,0.058590176262843,2.585329038013985,-0.031409823737157
0.9169617788578371,0.09769147286821706,0.3673952576,0.085,0.052710621903033564,3.4440437969898103,-0.03228937809696644
0.9186728262454434,0.1258553464519976,0.38685086080000003,0.08,0.046444727088294585,4.4313360014710845,-0.03355527291170542
0.9205065224787363,0.16274578175313056,0.4122006176,0.075,0.039668273390009286,5.777465140490264,-0.03533172660999071
0.9222827266099636,0.21011408467501488,0.44456000160000003,0.07,0.0320950908196962,7.154370391858878,-0.03790490918030381
0.9239355091130012,0.26674876326774,0.48309463999999996,0.065,0.02464013744636996,8.11818332108984,-0.04035986255363004
0.9255387071688943,0.3286953798449613,0.5251762031999999,0.06,0.017339603933073273,8.48873656410081,-0.042660396066926724
0.9287530789793439,0.4491209373881932,0.6070158384000001,0.05,0.004726636196436221,7.571771761145306,-0.04527336380356378
0.931590780072904,0.5516069600477043,0.6766976336,0.04,-0.005271481758601183,6.436252788452896,-0.045271481758601184
0.9343167970838396,0.6365770518783542,0.734592976,0.03,-0.01376869652886624,5.237213120267313,-0.04376869652886624
0.9369562332928311,0.707220572450805,0.7828495520000001,0.02,-0.021633254072716716,4.541416764834442,-0.041633254072716716
0.9395076111786148,0.7662969850924269,0.8233179232000001,0.01,-0.028999763514271575,3.8127218883592153,-0.038999763514271577
0.9419217837181045,0.8160901371496719,0.8575139152,-0.0,-0.03612520815482767,3.2356444559169955,-0.03612520815482767
0.9442672466585662,0.8575510840787121,0.8860980448,-0.01,-0.04351691353510729,2.6255522064635795,-0.03351691353510729
0.946577113001215,0.8917273297555157,0.9097838784,-0.02,-0.050977527692650154,2.1522102171425153,-0.030977527692650154
0.9487723645200485,0.9193297722122838,0.9290222736,-0.03,-0.05830442870921585,1.6800330513438715,-0.028304428709215852
0.9508871786148239,0.9410521121049493,0.9442898160000001,-0.04,-0.06571142434508757,1.324504396600166,-0.02571142434508757
0.9548221433778857,0.9701264615384616,0.9650882799999999,-0.06,-0.08021499087370779,0.7663304292057235,-0.020214990873707792
0.9585603450789794,0.985783656529517,0.9768217424000001,-0.08,-0.0922239798002834,0.4034525880632905,-0.012223979800283408
0.9618450838396112,0.9934435372689325,0.9830413264000001,-0.1,-0.0983789440419376,0.22163900180207363,0.0016210559580623997
0.9646298906439854,0.9970156446034586,0.9863542544,-0.12,-0.09910990144083219,0.12113531637522909,0.02089009855916781
