Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
0.074349575,0,0.02447588,1.16,0.008336568,0.133354413,-1.151663432
0.091000486,0,0.02995736,1.12,0.005030367,0.161361793,-1.114969633
0.109656561,0,0.03609894,1.08,-0.00141039,0.144824925,-1.08141039
0.128043864,0,0.04215204,1.04,-0.004130436,0.146303947,-1.044130436
0.146151883,0,0.0481132,1,-0.002076111,0.143457087,-1.002076111
0.164003767,0,0.05399004,0.96,0.000931577,0.149695369,-0.959068423
0.201297388,0,0.0662671,0.88,0.001819205,0.163078312,-0.878180795
0.239066768,0,0.07870078,0.8,0.00217241,0.14239121,-0.79782759
0.282049332,0,0.09285064,0.72,0.004855964,0.196663006,-0.715144036
0.330783293,0,0.10889386,0.64,0.00482051,0.187240158,-0.63517949
0.384272722,0,0.12650258,0.56,0.002101208,0.214118358,-0.557898792
0.429272296,0,0.14131644,0.5,0.00224331,0.271796732,-0.49775669
0.461667375,0,0.1519809,0.46,-0.001005306,0.246930968,-0.461005306
0.495298238,0,0.16305218,0.42,0.000430814,0.284223621,-0.419569186
0.529123208,9.84E-07,0.17418802,0.38,-0.00239449,0.298564466,-0.38239449
0.564299453,1.13E-06,0.18576814,0.34,-0.001951374,0.270976973,-0.341951374
0.599236452,5.81E-06,0.19727254,0.3,0.00102152,0.30562445,-0.29897848
0.634140887,7.62E-05,0.20881028,0.26,0.004288479,0.28774804,-0.255711521
0.669907776,0.000369797,0.2207817,0.22,0.009141278,0.314461785,-0.210858722
0.689060996,0.000725611,0.22732562,0.2,0.015629721,0.349551197,-0.184370279
0.709582564,0.001680083,0.23472158,0.18,0.018931356,0.460249423,-0.161068644
0.731011786,0.003824448,0.24321452,0.16,0.035110512,0.434826258,-0.124889488
0.753399575,0.008474896,0.2537041,0.14,0.049285645,0.534207089,-0.090714355
0.764089793,0.012488939,0.25991594,0.13,0.054105903,0.717143823,-0.075894097
0.769630741,0.015274776,0.26360876,0.125,0.05471318,0.71355139,-0.07028682
0.77560401,0.018768068,0.26791846,0.12,0.057096755,0.789389842,-0.062903245
0.78100486,0.022862791,0.27244316,0.115,0.057056465,1.013489407,-0.057943535
0.786553402,0.027496184,0.27737782,0.11,0.062873362,1.027739104,-0.047126638
0.791819927,0.033625671,0.28322322,0.105,0.055693803,1.204579616,-0.049306197
0.797202187,0.040733333,0.28976288,0.1,0.059376033,1.353211293,-0.040623967
0.803254131,0.049517829,0.29764782,0.095,0.059439828,1.454135649,-0.035560172
0.808179162,0.060486017,0.3066266,0.09,0.0561983,1.973124114,-0.0338017
0.813236695,0.072469559,0.3163301,0.085,0.050764384,2.173982226,-0.034235616
0.81879034,0.087267651,0.32808492,0.08,0.051060949,2.417404185,-0.028939051
0.824136027,0.104312016,0.34127808,0.075,0.04637295,3.027653571,-0.02862705
0.829925091,0.124631038,0.35681384,0.07,0.044087206,2.997920868,-0.025912794
0.83485723,0.148331634,0.37433586,0.065,0.039002025,3.739817057,-0.025997975
0.840113852,0.176584109,0.3950181,0.06,0.035164269,4.108945735,-0.024835731
0.8505387,0.241660107,0.44210294,0.05,0.02652496,5.513999973,-0.02347504
0.861036817,0.323771795,0.50063944,0.04,0.017435842,5.985618804,-0.022564158
0.871864642,0.417279368,0.56692884,0.03,0.007656942,6.803772955,-0.022343058
0.882274605,0.516508318,0.63691858,0.02,-0.00126243,6.507650974,-0.02126243
0.893130559,0.616476953,0.70755132,0.01,-0.011356888,6.769839307,-0.021356888
0.903803402,0.705972987,0.77109876,0,-0.02057148,6.286191069,-0.02057148
0.915529769,0.782301729,0.8261604,-0.01,-0.029256071,4.911831232,-0.019256071
0.926157776,0.843459392,0.8706837,-0.02,-0.03879455,4.201249128,-0.01879455
0.937256622,0.88985483,0.9054595,-0.03,-0.047521431,2.59072339,-0.017521431
0.948041009,0.923295617,0.9314418,-0.04,-0.054396168,2.28481586,-0.014396168
0.966076914,0.964303936,0.9648876,-0.06,-0.067709051,1.338885633,-0.007709051
0.980122175,0.983612165,0.98246326,-0.08,-0.080564731,0.597764225,-0.000564731
0.989738943,0.992617293,0.99166974,-0.1,-0.094453786,0.295877564,0.005546214
0.994962151,0.996649225,0.99609384,-0.12,-0.113780476,0.15125504,0.006219524
