Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
3.60E-05,0,1.18E-05,1.5,0.174854958,0.000475757,-1.325145042
0.00168712,0,0.0005554,1.4,0.074110671,0.020969329,-1.325889329
0.009168262,0,0.003018192,1.35,0.032226472,0.084224581,-1.317773528
0.027277507,0,0.008979755,1.3,0.011195345,0.14532708,-1.288804655
0.051486129,0,0.016949234,1.25,0.00256135,0.170874316,-1.24743865
0.077570104,0,0.025536078,1.2,0.001987691,0.180672594,-1.198012309
0.098819295,0,0.032531312,1.16,0.001472367,0.184789249,-1.158527633
0.120814591,0,0.039772163,1.12,0.000758381,0.184229654,-1.119241619
0.143040156,0,0.047088819,1.08,0.000848622,0.185680202,-1.079151378
0.16582922,0,0.054590979,1.04,0.000172261,0.182685499,-1.039827739
0.188297633,0,0.061987581,1,-0.000200955,0.175530541,-1.000200955
0.210599611,0,0.069329392,0.96,-0.002050728,0.182011034,-0.962050728
0.252558046,0,0.083142109,0.88,-0.003039641,0.163384196,-0.883039641
0.290260758,0,0.095553842,0.8,0.006816922,0.16714343,-0.793183078
0.33759129,0,0.111135053,0.72,-0.00407133,0.203483187,-0.72407133
0.379944787,0,0.125077824,0.64,-0.00183508,0.156973373,-0.64183508
0.419955203,0,0.138249253,0.56,0.003277525,0.174604738,-0.556722475
0.452138702,0,0.148844061,0.5,-0.000890533,0.175772521,-0.500890533
0.472451324,7.63E-08,0.155531027,0.46,0.002106498,0.164697149,-0.457893502
0.493970644,1.34E-07,0.162615226,0.42,0.005735836,0.187206528,-0.414264164
0.517880841,9.09E-07,0.170486982,0.38,0.002593668,0.208101198,-0.377406332
0.543010357,3.59E-06,0.178761416,0.34,0.00087408,0.20021216,-0.33912592
0.567923781,1.62E-05,0.186971354,0.3,0.002482954,0.206091162,-0.297517046
0.593479451,7.03E-05,0.195420582,0.26,0.002934719,0.211911605,-0.257065281
0.619607383,0.000332992,0.204198122,0.22,0.005498311,0.225067436,-0.214501689
0.632602299,0.000764842,0.208765733,0.2,0.01358305,0.233647924,-0.18641695
0.645233677,0.00172441,0.213567661,0.18,0.028085352,0.259164301,-0.151914648
0.657611825,0.003861064,0.219075814,0.16,0.046125314,0.306933455,-0.113874686
0.669346279,0.008739845,0.226211483,0.14,0.063046113,0.436376215,-0.076953887
0.674820991,0.013161283,0.230979659,0.13,0.070340907,0.552123969,-0.059659093
0.677624457,0.016290509,0.234001645,0.125,0.071795116,0.646796484,-0.053204884
0.680243582,0.020134948,0.23744271,0.12,0.072641285,0.731092378,-0.047358715
0.682838775,0.02477007,0.241406288,0.115,0.073056203,0.888109966,-0.041943797
0.68543286,0.030859206,0.246344853,0.11,0.072440754,1.074315836,-0.037559246
0.688019407,0.038503139,0.252323894,0.105,0.069178683,1.344285573,-0.035821317
0.690601998,0.048235361,0.259702458,0.1,0.06607326,1.633915975,-0.03392674
0.693221842,0.060783132,0.268981955,0.095,0.062319903,2.093084372,-0.032680097
0.695741375,0.076705763,0.280492286,0.09,0.057792704,2.509461792,-0.032207296
0.698266518,0.097981722,0.295595477,0.085,0.052228323,3.423674072,-0.032771677
0.700877191,0.126055833,0.315287024,0.08,0.046075574,4.459518254,-0.033924426
0.703348875,0.162743714,0.340710933,0.075,0.039621869,5.744030049,-0.035378131
0.705906211,0.209750151,0.373084726,0.07,0.031967805,7.415274908,-0.038032195
0.708401205,0.26652811,0.411992733,0.065,0.024659901,8.520715186,-0.040340099
0.710996982,0.328782259,0.454607346,0.06,0.017221496,8.598048198,-0.042778504
0.716283067,0.449243311,0.537152798,0.05,0.005011381,7.642938154,-0.044988619
0.721482163,0.551748119,0.607624566,0.04,-0.005110605,6.475077562,-0.045110605
0.726782629,0.636489682,0.66621412,0.03,-0.013485079,5.355309527,-0.043485079
0.732019733,0.706989758,0.715229626,0.02,-0.021088631,4.584387275,-0.041088631
0.737399995,0.766310347,0.756793059,0.01,-0.028053064,3.768375527,-0.038053064
0.742511125,0.816036742,0.791832109,0,-0.034948188,3.276546891,-0.034948188
0.747527232,0.857413224,0.821238755,-0.01,-0.042102015,2.67308501,-0.032102015
0.752572564,0.891691585,0.845893603,-0.02,-0.048707939,2.221562939,-0.028707939
0.757431616,0.919157882,0.865917595,-0.03,-0.055744653,1.807498132,-0.025744653
0.762302532,0.941064064,0.882215768,-0.04,-0.061744947,1.428817456,-0.021744947
0.771803373,0.970199833,0.904887718,-0.06,-0.070657214,0.887479184,-0.010657214
0.781459188,0.985784859,0.918520848,-0.08,-0.072560631,0.536064224,0.007439369
0.79162364,0.993380613,0.926962218,-0.1,-0.058661533,0.347363676,0.041338467
0.802588345,0.997014457,0.933009381,-0.12,-0.041941357,0.265977719,0.078058643
