Interlayer mole fraction,Nanopore mole fraction,Total mole fraction,Chemical potential,Partial molar entropy,dq/de,Partial molar enthalpy
3.80E-05,0,9.49E-06,1.5,0.176914954,0.00038711,-1.323085046
0.002027968,0,0.000506992,1.4,0.07860532,0.018864726,-1.32139468
0.011422074,0,0.002855518,1.35,0.038000792,0.085457483,-1.311999208
0.03719945,0,0.009299862,1.3,0.01253605,0.163509338,-1.28746395
0.073969606,0,0.018492402,1.25,0.003141675,0.194860649,-1.246858325
0.11258048,0,0.02814512,1.2,0.000334544,0.192968814,-1.199665456
0.14384889,0,0.035962222,1.16,0.0002477,0.204036798,-1.1597523
0.175368397,0,0.043842099,1.12,-0.001946427,0.193556112,-1.121946427
0.205659878,0,0.05141497,1.08,0.003438778,0.18684356,-1.076561222
0.238453312,0,0.059613328,1.04,0.007422547,0.227628389,-1.032577453
0.27699609,0,0.069249022,1,0.002337587,0.254788275,-0.997662413
0.316751251,0,0.079187813,0.96,-0.004643432,0.239109825,-0.964643432
0.387946368,0,0.096986592,0.88,0.00238653,0.217225395,-0.87761347
0.460905069,0,0.115226267,0.8,-0.004181267,0.216094468,-0.804181267
0.5233824,0,0.1308456,0.72,-0.002090118,0.180048225,-0.722090118
0.58081088,0,0.14520272,0.64,0.004240763,0.188507013,-0.635759237
0.64610624,0,0.16152656,0.56,0.001003969,0.21614351,-0.558996031
0.698713638,0,0.17467841,0.5,-0.002041269,0.220229475,-0.502041269
0.73288832,0,0.18322208,0.46,-0.004224137,0.205779691,-0.464224137
0.764054208,2.82E-07,0.191013763,0.42,-0.005483472,0.182206881,-0.425483472
0.791553587,8.23E-07,0.197889014,0.38,-0.001457687,0.16521868,-0.381457687
0.818301216,2.42E-06,0.20457712,0.34,0.001265768,0.170480838,-0.338734232
0.845877043,1.20E-05,0.21147827,0.3,0.00232596,0.179590503,-0.29767404
0.874122771,6.38E-05,0.218578578,0.26,0.00467074,0.183272399,-0.25532926
0.904129837,0.000342389,0.226289251,0.22,0.010358641,0.207841666,-0.209641359
0.919809242,0.000758895,0.230521482,0.2,0.017647483,0.217902076,-0.182352517
0.935530317,0.001715825,0.235169448,0.18,0.030806903,0.237657605,-0.149193097
0.950908691,0.003856363,0.240619445,0.16,0.047493492,0.304509912,-0.112506508
0.965248461,0.008734643,0.247863098,0.14,0.065445679,0.439826468,-0.074554321
0.971719194,0.013244284,0.252863011,0.13,0.072250423,0.566052923,-0.057749577
0.974758266,0.016226396,0.255859363,0.125,0.074432776,0.646704675,-0.050567224
0.977654989,0.020194434,0.259559573,0.12,0.075786988,0.786716931,-0.044213012
0.980362362,0.024870959,0.26374381,0.115,0.075191216,0.906450443,-0.039808784
0.982792154,0.030921751,0.268889352,0.11,0.073949491,1.100250131,-0.036050509
0.985000762,0.038438071,0.275078744,0.105,0.069900405,1.402706928,-0.035099595
0.987036794,0.048071507,0.282812829,0.1,0.067652422,1.720135887,-0.032347578
0.98888777,0.060730182,0.292769579,0.095,0.064130377,2.186748485,-0.030869623
0.990457414,0.076744478,0.305172712,0.09,0.059174487,2.958135212,-0.030825513
0.991932154,0.097965869,0.32145744,0.085,0.053383034,3.66283171,-0.031616966
0.993180621,0.125699187,0.342569546,0.08,0.047197511,4.729285112,-0.032802489
0.994306406,0.162887155,0.370741968,0.075,0.039799381,6.336782323,-0.035200619
0.995166285,0.209819573,0.406156251,0.07,0.03238198,7.891389107,-0.03761802
0.995963283,0.266560015,0.448910832,0.065,0.024708041,9.019597781,-0.040291959
0.996715565,0.328686711,0.495693925,0.06,0.017427065,9.103667986,-0.042572935
0.997712205,0.449230586,0.58635099,0.05,0.004865981,8.185201535,-0.045134019
0.998447206,0.551688655,0.663378293,0.04,-0.005353911,6.992657053,-0.045353911
0.998957082,0.636610882,0.727197432,0.03,-0.014080518,5.862269312,-0.044080518
0.999309581,0.707016655,0.780089886,0.02,-0.022032674,4.847302513,-0.042032674
0.999515405,0.766331209,0.824627258,0.01,-0.029553053,4.082243769,-0.039553053
0.999686944,0.816042048,0.861953272,0,-0.037064413,3.381387151,-0.037064413
0.999781158,0.857591136,0.893138642,-0.01,-0.044649229,2.988025469,-0.034649229
0.999853946,0.891717227,0.918751406,-0.02,-0.052402028,2.336386073,-0.032402028
0.999902176,0.91936067,0.939496046,-0.03,-0.060428972,1.813518442,-0.030428972
0.999937005,0.941039593,0.955763946,-0.04,-0.068775172,1.422906512,-0.028775172
0.999975334,0.970222445,0.977660667,-0.06,-0.086451871,0.809736142,-0.026451871
0.999981843,0.985744593,0.989303906,-0.08,-0.105121898,0.407750076,-0.025121898
0.999993133,0.993361005,0.995019037,-0.1,-0.124495622,0.192270286,-0.024495622
0.99999783,0.997012463,0.997758805,-0.12,-0.144157123,0.090258903,-0.024157123
